ADM_CD,구,행정동명,법정동추정명,지도기준일자,기준연월,세대수,총인구,19세이상인구,65세이상인구,생산가능인구_19_64세,세대당_총인구,생산가능인구비율_19_64세,65세이상인구비율,법정동명,건축유형,매매_거래건수,매매가_평당_중앙값,매매가_평당_평균,매매가_총액_중앙값,매매_전용면적_중앙값,매매_거래건수_주의,전세_거래건수,전세보증금_평당_중앙값,전세보증금_평당_평균,전세보증금_총액_중앙값,전세_전용면적_중앙값,전세_거래건수_주의,월세_거래건수,월세보증금_평당_중앙값,월세_평당_중앙값,월세보증금_총액_중앙값,월세_총액_중앙값,월세_전용면적_중앙값,월세_거래건수_주의,가격매핑방식
31021560,수정구,태평3동,태평동,20250630,2026-03,6299,11497,10612,3071,7541,1.8252103508493411,0.6559102374532487,0.2671131599547708,태평동,아파트,107.0,3214.9122550453353,3199.9305504096674,68500.0,59.9729,False,118.0,1981.2435593092787,1990.6575874696694,44350.0,59.9729,False,122.0,212.006746660339,9.285208850352685,1000.0,65.0,18.16,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021560,수정구,태평3동,태평동,20250630,2026-03,6299,11497,10612,3071,7541,1.8252103508493411,0.6559102374532487,0.2671131599547708,태평동,연립_다세대,142.0,1761.9182055599044,1815.521461860932,27900.0,49.81,False,158.0,1201.7822950307796,1230.8631554460883,20000.0,53.385000000000005,False,118.0,144.86415425065732,4.469022788721515,2000.0,55.0,41.019999999999996,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021560,수정구,태평3동,태평동,20250630,2026-03,6299,11497,10612,3071,7541,1.8252103508493411,0.6559102374532487,0.2671131599547708,태평동,오피스텔,40.0,1725.6476683222959,1746.189106369879,32500.0,60.55,False,44.0,1680.6465825883315,1634.9008633929536,30000.0,60.19,False,50.0,126.03063696463062,6.294597916086039,1500.0,75.0,42.74,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021570,수정구,태평4동,태평동,20250630,2026-03,5907,10833,9893,2680,7213,1.8339258506856273,0.6658358718729807,0.2473922274531524,태평동,단독_다가구,190.0,1320.5447522870274,1427.404829904687,49000.0,120.59,False,911.0,898.1525086035138,883.9549658609114,10000.0,38.54,False,2072.0,71.4304235090752,4.407733333333333,500.0,45.0,37.0,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021570,수정구,태평4동,태평동,20250630,2026-03,5907,10833,9893,2680,7213,1.8339258506856273,0.6658358718729807,0.2473922274531524,태평동,아파트,107.0,3214.9122550453353,3199.9305504096674,68500.0,59.9729,False,118.0,1981.2435593092787,1990.6575874696694,44350.0,59.9729,False,122.0,212.006746660339,9.285208850352685,1000.0,65.0,18.16,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021570,수정구,태평4동,태평동,20250630,2026-03,5907,10833,9893,2680,7213,1.8339258506856273,0.6658358718729807,0.2473922274531524,태평동,연립_다세대,142.0,1761.9182055599044,1815.521461860932,27900.0,49.81,False,158.0,1201.7822950307796,1230.8631554460883,20000.0,53.385000000000005,False,118.0,144.86415425065732,4.469022788721515,2000.0,55.0,41.019999999999996,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021570,수정구,태평4동,태평동,20250630,2026-03,5907,10833,9893,2680,7213,1.8339258506856273,0.6658358718729807,0.2473922274531524,태평동,오피스텔,40.0,1725.6476683222959,1746.189106369879,32500.0,60.55,False,44.0,1680.6465825883315,1634.9008633929536,30000.0,60.19,False,50.0,126.03063696463062,6.294597916086039,1500.0,75.0,42.74,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021580,수정구,수진1동,수진동,20250630,2026-03,6674,10701,10151,3225,6926,1.6033862750973928,0.6472292309129988,0.3013737033922063,수진동,단독_다가구,383.0,2281.807528207073,2455.385641887317,81000.0,117.71,False,476.0,940.0215921530578,954.9863336501749,12000.0,39.754999999999995,False,689.0,72.36865148861646,4.064870355519915,500.0,40.0,36.38,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021580,수정구,수진1동,수진동,20250630,2026-03,6674,10701,10151,3225,6926,1.6033862750973928,0.6472292309129988,0.3013737033922063,수진동,아파트,88.0,2858.425724921709,3079.004775786317,71500.0,84.7394,False,82.0,1722.4317475867624,1741.4456470432037,40000.0,84.63470000000001,False,75.0,407.62022194821213,6.228001799183773,5000.0,62.0,59.76,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021580,수정구,수진1동,수진동,20250630,2026-03,6674,10701,10151,3225,6926,1.6033862750973928,0.6472292309129988,0.3013737033922063,수진동,연립_다세대,62.0,3629.7048043331715,3655.8677734971034,61500.0,59.865,False,54.0,1132.463390305868,1179.1337286998141,20000.0,59.555,False,34.0,233.63567547674842,3.3026453378420912,4400.0,42.5,58.1257,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021580,수정구,수진1동,수진동,20250630,2026-03,6674,10701,10151,3225,6926,1.6033862750973928,0.6472292309129988,0.3013737033922063,수진동,오피스텔,3.0,1605.167390748786,1639.3727538434784,25000.0,57.2,True,3.0,1313.6172854836707,1291.3826752927412,27000.0,63.77,True,57.0,117.81183178902353,6.719616261398176,1000.0,60.0,29.58,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021590,수정구,수진2동,수진동,20250630,2026-03,7480,14263,13169,4045,9124,1.9068181818181817,0.639697118418285,0.2836009254714997,수진동,단독_다가구,383.0,2281.807528207073,2455.385641887317,81000.0,117.71,False,476.0,940.0215921530578,954.9863336501749,12000.0,39.754999999999995,False,689.0,72.36865148861646,4.064870355519915,500.0,40.0,36.38,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021590,수정구,수진2동,수진동,20250630,2026-03,7480,14263,13169,4045,9124,1.9068181818181817,0.639697118418285,0.2836009254714997,수진동,아파트,88.0,2858.425724921709,3079.004775786317,71500.0,84.7394,False,82.0,1722.4317475867624,1741.4456470432037,40000.0,84.63470000000001,False,75.0,407.62022194821213,6.228001799183773,5000.0,62.0,59.76,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021590,수정구,수진2동,수진동,20250630,2026-03,7480,14263,13169,4045,9124,1.9068181818181817,0.639697118418285,0.2836009254714997,수진동,연립_다세대,62.0,3629.7048043331715,3655.8677734971034,61500.0,59.865,False,54.0,1132.463390305868,1179.1337286998141,20000.0,59.555,False,34.0,233.63567547674842,3.3026453378420912,4400.0,42.5,58.1257,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021590,수정구,수진2동,수진동,20250630,2026-03,7480,14263,13169,4045,9124,1.9068181818181817,0.639697118418285,0.2836009254714997,수진동,오피스텔,3.0,1605.167390748786,1639.3727538434784,25000.0,57.2,True,3.0,1313.6172854836707,1291.3826752927412,27000.0,63.77,True,57.0,117.81183178902353,6.719616261398176,1000.0,60.0,29.58,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021600,수정구,단대동,단대동,20250630,2026-03,6508,14102,12565,3361,9204,2.1668715427166565,0.6526733796624592,0.23833498794497235,단대동,단독_다가구,5.0,1368.1013424851117,1190.6897154647859,36500.0,176.73,False,27.0,823.6188103394582,849.3517626044728,15000.0,58.91,False,78.0,92.14091335885931,3.882905444323728,1000.0,46.5,41.315,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021600,수정구,단대동,단대동,20250630,2026-03,6508,14102,12565,3361,9204,2.1668715427166565,0.6526733796624592,0.23833498794497235,단대동,아파트,161.0,3165.372562674095,3455.7392846320845,80000.0,84.7,False,170.0,1808.3629569986074,1900.0683370051981,41000.0,77.82,False,98.0,532.6303792319197,3.700795376760757,10000.0,50.0,44.756,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021600,수정구,단대동,단대동,20250630,2026-03,6508,14102,12565,3361,9204,2.1668715427166565,0.6526733796624592,0.23833498794497235,단대동,연립_다세대,141.0,1500.7414880201768,1500.1310997386477,18700.0,40.8,False,159.0,956.8608776844071,946.3190418529197,11500.0,40.8,False,64.0,88.62775353637461,3.2452842896205034,1000.0,45.0,41.6725,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021600,수정구,단대동,단대동,20250630,2026-03,6508,14102,12565,3361,9204,2.1668715427166565,0.6526733796624592,0.23833498794497235,단대동,오피스텔,,,,,,,,,,,,,1.0,329.5912263210369,2.265939680957129,8000.0,55.0,80.24,True,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021610,수정구,산성동,산성동,20250630,2026-03,2093,4377,3942,1143,2799,2.091256569517439,0.6394790952707334,0.26113776559287183,산성동,단독_다가구,1.0,4901.343848580443,4901.343848580443,47000.0,31.7,True,7.0,855.6332039193936,838.9295833021843,14000.0,54.29,False,34.0,54.60956450556647,4.361239305054152,500.0,47.5,36.33,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
