gu_name,dong_name,admi_cd,total_commute,subway_share,axis_commute_share,seoul_commute_share,accessibility_score,high_demand_low_access
분당구,정자3동,41135570,2486522.8000000003,0.2080061884009267,0.3314304162665505,0.2419500879164306,-0.0035752423438671,-0.1006765204547336
분당구,금곡동,41135662,4119421.1,0.287328195216556,0.3910496553787414,0.258531270809163,0.6104719046194031,-0.2068177512133637
수정구,태평4동,41131561,1417460.28,0.2758652256555647,0.199760208763574,0.2533149178778602,-0.2770550986623012,-0.2721641453616247
수정구,태평2동,41131550,1483089.6,0.2862677480848088,0.216385012120805,0.2532426558831557,-0.200717867447329,-0.3732755959290534
분당구,야탑2동,41135630,1498871.22,0.1955975243823815,0.3201430223953599,0.2810697464014302,-0.1193761821216262,-0.5156715790147963
분당구,수내1동,41135520,2569378.54,0.1960332828186538,0.4762143189544763,0.2342813785522423,0.2669025360482058,-0.5547301292337619
분당구,정자2동,41135560,2309769.66,0.2043823192309141,0.3966475406738504,0.2585494280675173,0.1805939990406411,-0.5590712114878219
중원구,금광1동,41133530,3173203.37,0.3542684722410338,0.2262754994587004,0.3268785607750484,0.5299253986761268,-0.6613888863762958
수정구,신흥3동,41131530,1558550.93,0.327490356699476,0.1917999551687199,0.2452271360310894,0.0098230525551434,-0.719694354696111
수정구,양지동,41131610,1127521.29,0.3190979568997761,0.1668255164955263,0.2241618600200633,-0.0961339047917492,-0.7969081333252459
수정구,신흥1동,41131510,1104383.35,0.3351878312906474,0.2121355968631109,0.1974286957040173,-0.087511094462208,-0.8278820498234698
중원구,중앙동,41133525,2353869.71,0.3469590889123595,0.2313753768383136,0.2749181283609829,0.3667402277864176,-0.8798268944364208
수정구,수진1동,41131570,1225604.69,0.3491501244173601,0.2128304255281014,0.2167291252968425,0.0030551414436719,-0.9200907476389784
분당구,수내2동,41135530,330797.93,0.1066688657936886,0.3693647312853932,0.2685767840096365,-0.2536966106981493,-1.0114163914023078
수정구,태평3동,41131560,1571406.81,0.3484759048485987,0.2030612461568853,0.2761577934766753,0.209961567809797,-1.0866783987459423
분당구,정자동,41135545,2223495.3600000003,0.2543565460824708,0.4224780500930338,0.2431765140505387,0.4574365118272895,-1.133299895819115
