구,법정동명,건축유형,매매_거래건수,매매가_평당_중앙값,매매가_평당_평균,매매가_총액_중앙값,매매_전용면적_중앙값,매매_거래건수_주의,전세_거래건수,전세보증금_평당_중앙값,전세보증금_평당_평균,전세보증금_총액_중앙값,전세_전용면적_중앙값,전세_거래건수_주의,월세_거래건수,월세보증금_평당_중앙값,월세_평당_중앙값,월세보증금_총액_중앙값,월세_총액_중앙값,월세_전용면적_중앙값,월세_거래건수_주의
분당구,운중동,연립_다세대,46.0,4088.414857459168,4370.624311451251,88700.0,83.57499999999999,False,55.0,2558.833774108237,2638.069323233287,108000.0,131.23,False,50.0,1179.66549296223,8.103748973327386,30000.0,160.0,84.715,False
분당구,운중동,오피스텔,13.0,2857.011163125675,2761.614612622163,69000.0,84.14,False,45.0,2082.3318279058713,2055.722834904612,46000.0,82.84,False,45.0,114.11114946496376,8.708849239612023,1000.0,95.0,32.36,False
분당구,율동,단독_다가구,1.0,1819.7260628824922,1819.7260628824922,170000.0,308.83,True,4.0,1337.3469585235514,1595.8641761447257,40000.0,92.82,True,20.0,190.83231973396647,4.995103600375856,3500.0,55.0,53.4,False
분당구,율동,연립_다세대,8.0,2785.928125442786,2437.925372451786,42350.0,52.09,False,18.0,2145.628187297172,1988.0674977750646,34450.0,53.925,False,5.0,449.37130428872433,4.493713042887243,10000.0,95.0,56.515,False
분당구,이매동,단독_다가구,3.0,1657.0426065162908,3292.828061452025,104000.0,207.48,True,92.0,1267.2233333333334,1358.9619417249226,23750.0,57.96,False,115.0,222.61279461279463,5.289280000000001,3000.0,55.0,29.7,False
분당구,이매동,아파트,465.0,5703.022568829021,5785.9301494242,162500.0,84.94,False,1013.0,2504.7358361774745,2491.781016004137,66000.0,84.84,False,438.0,1116.0068713122714,5.005478855890234,30000.0,120.0,84.63,False
분당구,이매동,연립_다세대,27.0,3228.39628191552,3176.75596718682,75000.0,84.99,False,35.0,1960.375573596894,2073.2796011350915,46200.0,67.06,False,21.0,1273.4206471494608,1.6703403180264527,20000.0,30.0,52.05,False
분당구,정자동,단독_다가구,16.0,1444.5246028626261,1457.4777234737426,188000.0,436.55,False,198.0,1256.2040000000002,1264.8752691590448,20000.0,55.0,False,966.0,143.73043478260868,5.61986,1000.0,58.0,28.0,False
분당구,정자동,아파트,1148.0,6030.838083384586,6276.65001458292,133650.0,66.6,False,1748.0,2623.6507936507933,2695.9848871271306,60000.0,69.055,False,899.0,829.1447203411086,5.7392361111111105,20000.0,100.0,69.055,False
분당구,정자동,연립_다세대,5.0,4898.570052604283,4969.308387762731,208000.0,134.97,False,18.0,1916.9994030326998,1877.8597272741836,84000.0,134.97,False,9.0,489.85700526042825,5.615287551565154,20000.0,250.0,134.97,False
