source_year,gu_name,dong_name,admi_cd,total_commute,subway_share,bus_share,car_share,other_share,avg_stay_duration,short_stay_share,axis_commute_share,seoul_commute_share,accessibility_score,vulnerability_score,high_demand_low_access,bus,car,subway,walk,express_bus,rail,air,other,total_od_commute
2023,분당구,야탑1동,41135620,735110.37,0.2365218028416603,0.3259027620573493,0.3585014043537435,0.0790740307472468,420.0030513785297,0.0369474586516851,0.2919976782775707,0.2269254625109439,-0.4109148493185783,0.4109148493185783,0.8659974295070296,239574.5,263538.1,173869.63,43896.26,0.0,0.0,0.0,14231.88,1396204.8
2023,수정구,복정동,41131620,330937.89,0.3983401537974391,0.2081814808210688,0.3589353277136081,0.0345430376678838,433.1120262475837,0.036594419575226,0.2903267537083265,0.5470504227602211,1.2317605608488105,-1.2317605608488105,-3.229351517037037,68895.14,118785.3,131825.85,2120.38,0.0,0.0,0.0,9311.22,596142.89
2023,수정구,태평1동,41131540,588227.3099999999,0.5081214777328174,0.2859206758013327,0.1824749517325198,0.0234828947333302,452.3780067266854,0.0325275274961307,0.2997671860122705,0.3640909670486456,1.0841292864609318,-1.0841292864609318,-2.3440398205166124,168186.35,107336.75,298890.93,9548.82,0.0,5.29,0.0,4259.17,945673.42
2023,수정구,단대동,41131590,579929.84,0.4405890029731872,0.2322733384438365,0.2869860085144092,0.0401516500685669,439.1554049020826,0.0364086110830234,0.2422276698387138,0.3514424105754446,0.6671685481427359,-0.6671685481427359,-1.5640929073835597,134702.24,166431.75,255510.71,12737.89,0.0,0.0,0.0,10547.25,880760.3200000001
2023,수정구,위례동,41131625,1947278.22,0.2927495281080071,0.2364909673770192,0.4049669440661643,0.0657925604488094,421.5805957096362,0.0346095844485951,0.2546931669610062,0.5438678026724157,0.6670828627831417,-0.6670828627831417,1.6368638505305444,460513.71,788583.3099999999,570064.78,45089.12,0.0,32.22,0.0,82995.08,2786968.29
2023,수정구,신흥2동,41131520,929514.71,0.3947727196269976,0.2362642867695983,0.3011527058027947,0.0678102878006094,421.8371447827868,0.0356044714988964,0.2459080083117946,0.4022955318283571,0.6390319458904786,-0.6390319458904786,-0.6918165272040734,219611.13,279925.87,366947.05,28337.29,0.0,0.0,0.0,34693.37,1352227.82
2023,수정구,산성동,41131600,108911.48,0.4344519971632007,0.2260300750664668,0.3160270157011914,0.0234909120691409,441.36779979484254,0.0431796537885629,0.2509741655983404,0.302439030178907,0.5443642240664275,-0.5443642240664275,-2.4312557665590155,24617.27,34418.97,47316.81,1154.57,0.0,0.0,0.0,1403.86,235953.21
2023,수정구,수진2동,41131580,636660.24,0.4147583489743289,0.2894415080797255,0.2706575017155146,0.0251426412304308,436.789886235082,0.0371311235016026,0.2666271711354329,0.2917401547109615,0.4134713866356939,-0.4134713866356939,-0.9449222473995288,184275.9,172316.87,264060.15,10270.16,0.0,0.0,0.0,5737.16,997361.78
2023,수정구,태평3동,41131560,430403.12000000005,0.4000670348300448,0.3406208811869207,0.2170083014268111,0.0423037825562231,450.9993391776527,0.0367592130837713,0.2409731533585003,0.2935974900303648,0.2163972175489192,-0.2163972175489192,-1.0499266137350078,146604.29,93401.05,172190.1,12234.28,0.0,0.0,0.0,5973.4,738718.1
2023,수정구,수진1동,41131570,315964.32,0.3938347215913493,0.3974293046759204,0.1669638204718811,0.0417721532608492,464.2264803823418,0.0347581334500047,0.2656269306535478,0.2266201714432842,0.0190733826292181,-0.0190733826292181,-0.9395170700214396,125573.48,52754.61,124437.72,10653.93,0.0,0.0,0.0,2544.58,560367.24
2023,수정구,신흥3동,41131530,388697.82,0.361494798195678,0.3460587713098056,0.2511035436216236,0.0413428868728926,443.0890325034496,0.0375895856580826,0.2262417142317649,0.2628173272941103,-0.0713613246047698,0.0713613246047698,-0.5958814000220596,134512.29,97603.4,140512.24,11896.38,0.0,0.0,0.0,4173.51,686357.6
2023,수정구,신흥1동,41131510,290504.48,0.3852931631209267,0.3635578012428586,0.208732684604382,0.0424163510318326,474.39924644191376,0.0329055854835698,0.2526911806758847,0.1996555342471346,-0.0893810916736936,0.0893810916736936,-0.7911934595002417,105615.17,60637.78,111929.39,8244.39,0.0,0.0,0.0,4077.75,535948.78
2023,수정구,태평2동,41131550,433303.98,0.3142704574280624,0.4380141165562338,0.2043890757707787,0.043326350244925,452.3130805306704,0.0403054225350064,0.2458196523870925,0.2709527518383101,-0.2776533268576397,0.2776533268576397,-0.0959741943835582,189793.26,88562.6,136174.64,14522.55,0.0,0.0,0.0,4250.93,744112.76
2023,수정구,양지동,41131610,268813.88,0.3461998316455981,0.3123147138086768,0.3134330712387321,0.0280523833069929,447.1631542984313,0.0385246104107421,0.1921899774451345,0.2215981193745716,-0.3142278239922912,0.3142278239922912,-0.4109067902565601,83954.53,84255.16,93063.32,2613.24,0.0,7.72,0.0,4919.91,462352.57
2023,수정구,태평4동,41131561,376041.15,0.3155036622986606,0.4092636936143823,0.2305414447328437,0.0446911993541132,456.251415569812,0.0324636279832672,0.2261071955124753,0.2634272129519405,-0.3232313388164565,0.3232313388164565,-0.1426401296310249,153899.99,86693.07,118642.36,12390.93,0.0,0.0,0.0,4414.8,630088.13
2023,수정구,고등동,41131640,456801.62,0.1247564752506788,0.3454624788764979,0.5080594722934652,0.0217215735793581,414.67682163649073,0.0391203078482952,0.2938110814763613,0.3596697246988139,-0.4908458359130434,0.4908458359130434,0.3677497983723117,157807.82,232082.39,56988.96,849.82,0.0,0.0,0.0,9072.63,715263.9
2023,수정구,시흥동,41131650,87153.6,0.0508807438820656,0.3764080887077527,0.5604137981678324,0.0122973692423491,380.4966610673569,0.0706737300581961,0.3696170447673497,0.2341104627524442,-0.9111890698575046,0.9111890698575046,0.3083047212033298,32805.32,48842.08,4434.44,519.22,0.0,0.0,0.0,552.54,316321.83
2023,수정구,신촌동,41131630,79707.28,0.0472672006873148,0.415982454802121,0.5130101039704278,0.0237402405401363,405.43087281362506,0.0548310016349824,0.2107958473082159,0.4338521249240893,-0.9398545720803728,0.9398545720803728,0.3458294658968754,33156.83,40890.64,3767.54,612.73,0.0,0.0,0.0,1279.54,193862.69
2023,중원구,은행1동,41133550,49784.69,0.5110223645060359,0.2661854477752096,0.2098291663561629,0.0129630213625915,490.3326283642621,0.021884639635197,0.2483877891523256,0.2481665747873614,0.6311186155593312,-0.6311186155593312,-2.7359841566666403,13251.96,10446.28,25441.09,482.83,0.0,0.0,0.0,162.53,107949.59
2023,중원구,금광1동,41133530,837679.6,0.3881196462227324,0.2843799944513391,0.2700424840237246,0.0574578753022038,438.4148678086466,0.0345496535907046,0.2601907080442928,0.3512976402171175,0.4609115778578453,-0.4609115778578453,-0.5653102058722169,238219.32,226209.08,325119.91,31530.37,0.0,0.0,0.0,16600.92,1231859.94
2023,중원구,중앙동,41133525,659290.95,0.3899423312272071,0.2732429286341637,0.2801584945159645,0.0566562456226647,442.4201541064685,0.0323931945372524,0.2716415570493802,0.3037693771480705,0.3874921296834016,-0.3874921296834016,-0.8421408127720154,180146.59,184705.96,257085.45,21651.69,0.0,0.0,0.0,15701.26,997595.85
2023,중원구,금광2동,41133540,1007235.95,0.3798307437299076,0.3091422819052477,0.2643604410664651,0.0466665332983795,431.33305517937487,0.0396758971917156,0.2113783029778641,0.2982306537805134,0.0930590287582115,-0.0930590287582115,0.5368233226943792,311379.22,266273.34,382579.18,31931.38,0.0,0.0,0.0,15072.83,1537418.72
2023,중원구,성남동,41133510,1627484.79,0.357487322508249,0.3712638444995851,0.220751550003733,0.0504972829884327,448.4066927593222,0.036512666886429,0.2637825027589167,0.249824482339026,-0.0305967428859802,0.0305967428859802,2.22581358785342,604226.26,359269.79,581805.1799999999,60885.33,0.0,5.29,0.0,21292.94,2520971.38
2023,중원구,은행2동,41133560,883256.6499999999,0.3433029233349106,0.3449871903030676,0.2754590865520231,0.0362507998099986,444.20506836829367,0.0383909478632286,0.1951314423124538,0.2657041777692684,-0.2334935908390836,0.2334935908390836,0.8726488409740256,304712.23,243301.07,303224.59,16997.89,0.0,0.0,0.0,15020.87,1328742.6
2023,중원구,상대원2동,41133580,288121.84,0.2823210833305798,0.417092782692211,0.251125773735167,0.049460360242042,454.30331487540127,0.0337194500770923,0.2220346592468209,0.217069934914471,-0.6014343022476099,0.6014343022476099,0.1849044949865524,120173.54,72354.82,81342.87,11981.38,0.0,0.0,0.0,2269.23,502432.73
2023,중원구,상대원3동,41133590,167159.44,0.2605168454739977,0.3990842515385311,0.2778563986574733,0.0625425043299977,447.5930787994982,0.0393371741374582,0.2305371688814422,0.1931304804345625,-0.7016453732278283,0.7016453732278283,0.0938647694672785,66710.7,46446.32,43547.85,7641.75,18.0,0.0,0.0,2794.82,335334.95
2023,중원구,도촌동,41133670,1188506.5,0.1803578356534019,0.4210540203187782,0.3603532668942071,0.0382348771336126,427.4760734585801,0.0360577918589422,0.2762986714097502,0.2474571729632328,-0.7363430106023059,0.7363430106023059,2.551231276727877,500425.44,428282.2,214356.46,23406.26,0.0,0.0,0.0,22036.14,1685676.98
2023,중원구,하대원동,41133660,814088.65,0.2115853476153979,0.4500836364688292,0.3037355575464662,0.0345954583693065,428.4555638995826,0.0414773501632776,0.217460025118036,0.2001714610678168,-0.9744999484975652,0.9744999484975652,2.131344794178579,366407.98,247267.67,172249.23,19791.27,0.0,0.0,0.0,8372.5,1190602.64
2023,중원구,상대원1동,41133570,835365.09,0.1728689308766781,0.4101467539180983,0.3474336472451824,0.0695506679600412,428.7371145710674,0.0456471672762863,0.1873694663199969,0.1949394658035637,-1.187373179275382,1.187373179275382,2.589257134266852,342622.28,290233.94,144408.66999999998,42798.33,0.0,0.0,0.0,15301.87,1349642.1
2024,분당구,금곡동,41135662,1326660.37,0.2932753618019056,0.092862599038818,0.4563283743826613,0.1575336647766149,410.3460250803301,0.0350074299724502,0.4057567971020124,0.2522508216915496,0.5854411774809535,-0.5854411774809535,-0.1912436376352823,123197.13,605392.77,389076.8,103202.3,15.18,11.32,0.0,105764.87,2071826.71
