"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"80","경기도 성남시 중원구 금광동","4***","다가구","12m미만","182.02","107.10","202511","13","80,726","법인","개인","1986","자혜로16번길","-","직거래","-"
"81","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","103.52","60.50","202511","11","43,500","개인","개인","1987","박석로85번길","-","중개거래","경기 성남시 중원구"
"82","경기도 성남시 중원구 상대원동","1***","다가구","12m미만","125.12","63.50","202511","05","43,000","개인","개인","1995","박석로49번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"83","경기도 성남시 중원구 상대원동","1***","다가구","8m미만","178.38","105.80","202511","02","56,000","개인","개인","1990","박석로15번길","-","중개거래","경기 성남시 중원구"
"84","경기도 성남시 중원구 상대원동","2***","다가구","12m미만","442.41","147.40","202511","01","104,000","개인","개인","1989","희망로326번길","-","중개거래","경기 성남시 중원구"
"85","경기도 성남시 중원구 상대원동","1***","다가구","12m미만","213.50","165.60","202510","30","81,000","개인","개인","1983","둔촌대로413번길","-","중개거래","경기 성남시 중원구"
"86","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","131.88","68.80","202510","28","51,500","개인","개인","1989","박석로49번길","-","중개거래","경기 성남시 중원구"
"87","경기도 성남시 중원구 중앙동","2***","단독","8m미만","96.12","65.50","202510","18","54,000","개인","개인","1972","광명로262번길","-","중개거래","경기 성남시 중원구"
"88","경기도 성남시 중원구 중앙동","2***","단독","8m미만","35.64","65.10","202510","16","35,000","개인","개인","1973","광명로242번길","-","중개거래","경기 성남시 수정구"
"89","경기도 성남시 중원구 상대원동","5***","다가구","8m미만","73.81","59.80","202510","15","67,900","개인","개인","1985","희망로317번길","-","중개거래","경기 성남시 중원구"
"90","경기도 성남시 중원구 은행동","1***","단독","12m미만","466.68","102.80","202510","15","130,000","개인","개인","1992","은행로","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"91","경기도 성남시 중원구 은행동","1***","단독","8m미만","178.54","99.30","202510","15","59,800","개인","개인","1990","은이로23번길","-","중개거래","경기 성남시 수정구"
"92","경기도 성남시 중원구 중앙동","3**","다가구","8m미만","94.21","68.80","202510","15","80,000","개인","개인","1972","광명로","-","중개거래","경기 성남시 중원구, 서울 광진구"
"93","경기도 성남시 중원구 중앙동","2**","다가구","8m미만","152.41","66.80","202510","15","89,000","개인","개인","1991","공원로320번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"94","경기도 성남시 중원구 중앙동","3**","다가구","8m미만","191.48","66.10","202510","15","85,000","개인","개인","1992","광명로","20251119","중개거래","경기 성남시 중원구"
"95","경기도 성남시 중원구 상대원동","2**","다가구","8m미만","161.70","92.90","202510","15","67,000","개인","개인","1991","금상로","-","중개거래","경기 성남시 중원구"
"96","경기도 성남시 중원구 상대원동","9**","다가구","8m미만","195.30","115.70","202510","15","76,000","개인","개인","1995","박석로72번길","-","중개거래","경기 성남시 중원구"
