"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"50","경기도 성남시 분당구 정자동","29","0029","0000","느티마을선경","전세","164.8400","202604","13","75,000","0","2","1995","황새울로132번길 27","202604~202804","갱신","사용","75,000","0","연립다세대"
"51","경기도 성남시 분당구 구미동","13","0013","0000","까치마을건영빌라6단지","월세","59.9300","202604","13","10,000","138","3","1995","미금일로 122","202605~202805","갱신","사용","10,000","128","연립다세대"
"52","경기도 성남시 분당구 야탑동","266","0266","0000","매화마을동신빌라","전세","59.9200","202604","13","34,600","0","2","1995","벌말로30번길 12","202606~202806","갱신","사용","33,000","0","연립다세대"
"53","경기도 성남시 분당구 정자동","29","0029","0000","느티마을경남","월세","134.9700","202604","13","20,000","300","1","1995","황새울로132번길 27","202605~202805","신규","-","","","연립다세대"
"54","경기도 성남시 분당구 판교동","552","0552","0000","판교원마을10단지(힐스테이트연립)","전세","125.4200","202604","11","115,000","0","4","2009","서판교로 73","202608~202808","신규","-","","","연립다세대"
"55","경기도 성남시 분당구 야탑동","185","0185","0000","목련마을화성빌리지","전세","84.8500","202604","10","45,000","0","2","1994","야탑로271번길 28","202604~202804","신규","-","","","연립다세대"
"56","경기도 성남시 분당구 야탑동","512","0512","0000","탑마을동아","전세","56.5200","202604","10","37,275","0","4","1994","성남대로 884-4","202605~202805","갱신","-","35,500","0","연립다세대"
"57","경기도 성남시 분당구 대장동","577-1","0577","0001","써밋스페이스(105동,106동)","월세","50.6000","202604","10","5,000","100","2","2017","벌장투리로23번길 2","202604~202804","신규","-","","","연립다세대"
"58","경기도 성남시 분당구 율동","289","0289","0000","리베하임","전세","53.9250","202604","09","45,000","0","4","2019","새마을로165번길 13","202606~202806","신규","-","","","연립다세대"
"59","경기도 성남시 분당구 구미동","104","0104","0000","두앙노빌리티빌라101동~103동","전세","199.2600","202604","09","100,000","0","2","1999","금곡로 117","202604~202804","갱신","-","100,000","0","연립다세대"
"60","경기도 성남시 분당구 운중동","987","0987","0000","산운마을7단지(휴먼시아연립)","전세","131.2300","202604","08","125,000","0","5","2010","산운로 135","202606~202806","신규","-","","","연립다세대"
"61","경기도 성남시 분당구 구미동","22","0022","0000","까치마을건영빌라3단지","전세","59.9300","202604","08","42,000","0","4","1995","미금일로90번길 23","202607~202807","갱신","사용","40,000","0","연립다세대"
"62","경기도 성남시 분당구 구미동","12","0012","0000","까치마을건영빌라5단지","월세","59.9300","202604","08","42,000","40","4","1995","미금일로 136","202607~202807","신규","-","","","연립다세대"
"63","경기도 성남시 분당구 궁내동","322-5","0322","0005","하이스트빌","월세","68.2050","202604","08","10,000","90","1","2003","궁내로22번길 19","202605~202805","갱신","-","10,000","80","연립다세대"
"64","경기도 성남시 분당구 정자동","29","0029","0000","느티마을선경","월세","134.9700","202604","08","20,000","250","3","1995","황새울로132번길 27","202607~202807","신규","-","","","연립다세대"
"65","경기도 성남시 분당구 정자동","29","0029","0000","느티마을경남","전세","164.8400","202604","07","95,000","0","3","1995","황새울로132번길 27","202606~202906","신규","-","","","연립다세대"
"66","경기도 성남시 분당구 이매동","306-2","0306","0002","드림캐슬(가동)","전세","50.4900","202604","06","38,000","0","2","2001","이매로 143","202606~202806","신규","-","","","연립다세대"
"67","경기도 성남시 분당구 구미동","12","0012","0000","까치마을건영빌라5단지","월세","59.8800","202604","06","4,000","190","3","1995","미금일로 136","202606~202806","신규","-","","","연립다세대"
"68","경기도 성남시 분당구 대장동","596","0596","0000","판교TH212","월세","111.8362","202604","06","20,000","500","4","2025","판교대장로7길 25","202607~202807","신규","-","","","연립다세대"
"69","경기도 성남시 분당구 구미동","13","0013","0000","까치마을건영빌라6단지","전세","59.8800","202604","05","46,000","0","3","1995","미금일로 122","202604~202804","갱신","사용","46,000","0","연립다세대"
"70","경기도 성남시 분당구 구미동","75","0075","0000","까치마을우성.우방빌라","월세","192.2800","202604","04","60,000","80","2","1994","금곡로 201","202606~202806","갱신","-","60,000","50","연립다세대"
"71","경기도 성남시 분당구 분당동","45","0045","0000","동아빌라","전세","164.4350","202604","04","63,000","0","2","1994","예원로 7","202606~202806","갱신","사용","60,000","0","연립다세대"
"72","경기도 성남시 분당구 분당동","41","0041","0000","샛별마을현대빌라","전세","164.4900","202604","04","80,000","0","1","1994","불정로 308","202604~202804","갱신","사용","80,000","0","연립다세대"
"73","경기도 성남시 분당구 분당동","95","0095","0000","장안타운(건영)951","월세","84.8400","202604","04","20,000","110","3","1995","장안로 67","202604~202804","신규","-","","","연립다세대"
"74","경기도 성남시 분당구 대장동","590","0590","0000","판교SKVIEWTerrace","월세","84.9906","202604","04","10,000","252","4","2023","판교대장로7길 37","202604~202804","갱신","사용","10,000","240","연립다세대"
"75","경기도 성남시 분당구 야탑동","218","0218","0000","매화마을현대","전세","51.1600","202604","04","31,500","0","1","1994","벌말로50번길 27","202604~202804","갱신","사용","30,000","0","연립다세대"
"76","경기도 성남시 분당구 백현동","373-1","0373","0001","동양라샹스(LaChance)","전세","155.7700","202604","03","90,000","0","1","2008","대왕판교로385번길 13-4","202604~202804","신규","-","","","연립다세대"
"77","경기도 성남시 분당구 정자동","29","0029","0000","느티마을선경","전세","134.9700","202604","03","90,000","0","4","1995","황새울로132번길 27","202607~202807","신규","-","","","연립다세대"
"78","경기도 성남시 분당구 구미동","20","0020","0000","까치마을금성백조","월세","59.5050","202604","03","10,000","74","1","1995","미금일로90번길 11","202606~202706","갱신","-","10,000","69","연립다세대"
"79","경기도 성남시 분당구 서현동","322","0322","0000","정도","전세","53.8200","202604","02","42,000","0","1","1995","불정로406번길 7","202605~202805","신규","-","","","연립다세대"
"80","경기도 성남시 분당구 대장동","590","0590","0000","판교SKVIEWTerrace","전세","84.9653","202604","02","72,975","0","2","2023","판교대장로7길 37","202604~202704","갱신","-","69,500","0","연립다세대"
"81","경기도 성남시 분당구 구미동","81","0081","0000","분당중앙하이츠","전세","197.1600","202604","02","85,000","0","2","1997","금곡로 181","202608~202808","신규","-","","","연립다세대"
"82","경기도 성남시 분당구 분당동","45","0045","0000","동아빌라","월세","164.4350","202604","02","50,000","120","1","1994","예원로 7","202608~202808","신규","-","","","연립다세대"
"83","경기도 성남시 분당구 야탑동","270","0270","0000","매화마을화성빌리지","전세","71.7700","202604","02","37,800","0","3","1994","벌말로50번길 14","202604~202804","갱신","-","18,700","30","연립다세대"
"84","경기도 성남시 분당구 야탑동","512","0512","0000","탑마을동아","전세","56.5200","202604","02","50,000","0","2","1994","성남대로 884-4","202607~202804","신규","-","","","연립다세대"
"85","경기도 성남시 분당구 야탑동","270","0270","0000","매화마을화성빌리지","월세","71.7700","202604","01","25,000","67","4","1994","벌말로50번길 14","202605~202805","갱신","-","25,000","37","연립다세대"
"86","경기도 성남시 분당구 운중동","874","0874","0000","산운마을2단지(월든힐스)","월세","188.8600","202604","01","20,000","550","1","2010","산운로 37","202606~202806","신규","-","","","연립다세대"
"87","경기도 성남시 분당구 구미동","20","0020","0000","까치마을금성백조","전세","59.6200","202604","01","42,000","0","2","1995","미금일로90번길 11","202606~202805","갱신","사용","40,000","0","연립다세대"
"88","경기도 성남시 분당구 운중동","926","0926","0000","금강펜테리움레전드","전세","139.0485","202604","01","140,000","0","2","2011","판교원로 101","202604~202804","갱신","-","120,750","0","연립다세대"
"89","경기도 성남시 분당구 구미동","22","0022","0000","까치마을건영빌라3단지","월세","59.9300","202604","01","9,000","125","4","1995","미금일로90번길 23","202604~202804","갱신","-","8,000","100","연립다세대"
"90","경기도 성남시 분당구 구미동","111","0111","0000","하얀그랜드(삼부)","월세","99.7500","202604","01","25,000","120","1","1995","미금로 114","202604~202704","갱신","-","25,000","100","연립다세대"
"91","경기도 성남시 분당구 구미동","84","0084","0000","현대노블리스11","전세","189.2600","202603","31","90,000","0","2","2001","금곡로 171","202608~202808","신규","-","","","연립다세대"
"92","경기도 성남시 분당구 야탑동","218","0218","0000","매화마을벽산","전세","59.9400","202603","31","38,000","0","4","1994","벌말로50번길 27","202606~202806","신규","-","","","연립다세대"
