"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"46","경기도 성남시 분당구 정자동","117","0117","0000","한솔마을(6단지)(주공)","전세","39.8700","202605","05","40,000","0","15","1995","내정로 54","202606~202806","신규","-","","","아파트"
"47","경기도 성남시 분당구 판교동","585","0585","0000","판교원마을9단지(한림풀에버)","월세","71.8438","202605","04","50,000","90","6","2009","서판교로 29","202606~202806","신규","-","","","아파트"
"48","경기도 성남시 분당구 판교동","638","0638","0000","판교원마을8단지(상록)임대","전세","84.8000","202605","04","44,685","0","8","2009","판교원로 255","202606~202806","갱신","-","42,558","0","아파트"
"49","경기도 성남시 분당구 판교동","638","0638","0000","판교원마을8단지(상록)임대","전세","84.9600","202605","04","44,685","0","17","2009","판교원로 255","202609~202709","갱신","-","42,558","0","아파트"
"50","경기도 성남시 분당구 판교동","638","0638","0000","판교원마을8단지(상록)임대","전세","84.9600","202605","04","44,685","0","17","2009","판교원로 255","202609~202706","갱신","-","42,558","0","아파트"
"51","경기도 성남시 분당구 판교동","638","0638","0000","판교원마을8단지(상록)임대","월세","84.9600","202605","04","42,074","31","19","2009","판교원로 255","202608~202808","갱신","-","40,071","33","아파트"
"52","경기도 성남시 분당구 서현동","308","0308","0000","효자촌(럭키)","월세","70.6860","202605","04","30,200","85","15","1994","불정로 362","202606~202806","갱신","-","30,100","55","아파트"
"53","경기도 성남시 분당구 서현동","91","0091","0000","시범한양","월세","28.7100","202605","04","10,000","80","7","1991","중앙공원로 17","202607~202807","신규","-","","","아파트"
"54","경기도 성남시 분당구 이매동","143","0143","0000","아름마을(효성)","전세","130.3500","202605","04","91,350","0","20","1995","이매로 16","202607~202807","갱신","사용","87,000","0","아파트"
"55","경기도 성남시 분당구 야탑동","156","0156","0000","목련마을(영남)","전세","53.6000","202605","04","40,000","0","11","1995","판교로 669","202607~202807","신규","-","","","아파트"
"56","경기도 성남시 분당구 야탑동","525","0525","0000","탑마을(경남)1","월세","69.8700","202605","04","30,000","130","10","1994","판교로 519","202607~202806","신규","-","","","아파트"
"57","경기도 성남시 분당구 판교동","629","0629","0000","판교원마을3단지(푸르지오)","전세","84.7100","202605","04","80,500","0","10","2009","판교로 20","202605~202805","갱신","사용","77,500","0","아파트"
"58","경기도 성남시 분당구 판교동","494","0494","0000","판교원마을12단지(힐스테이트)","전세","101.9800","202605","04","75,000","0","1","2009","서판교로 165","202606~202806","신규","-","","","아파트"
"59","경기도 성남시 분당구 수내동","24","0024","0000","양지마을(5단지)(한양501-514)","전세","35.1000","202605","04","24,250","0","15","1993","내정로165번길 35","202605~202607","갱신","-","24,250","0","아파트"
"60","경기도 성남시 분당구 수내동","24","0024","0000","양지마을(5단지)(한양501-514)","전세","35.1000","202605","04","25,460","0","5","1993","내정로165번길 35","202606~202806","갱신","사용","24,250","0","아파트"
"61","경기도 성남시 분당구 수내동","75","0075","0000","푸른마을(쌍용)","월세","59.7800","202605","04","43,000","20","1","1992","백현로 265","202607~202807","신규","-","","","아파트"
"62","경기도 성남시 분당구 백현동","554","0554","0000","백현마을5단지(주공)","월세","84.8900","202605","04","30,000","236","12","2009","판교역로 102","202608~202808","갱신","사용","30,000","220","아파트"
