"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"85","경기도 성남시 수정구 수진동","6**","다가구","8m미만","115.78","69.80","202603","20","90,000","개인","개인","1991","탄리로53번길","-","중개거래","경기 성남시 수정구"
"86","경기도 성남시 수정구 수진동","1***","단독","8m미만","69.15","62.50","202603","18","92,500","개인","개인","1990","산성대로157번길","-","중개거래","경기 성남시 수정구"
"87","경기도 성남시 수정구 신흥동","6***","단독","8m미만","112.08","62.10","202603","16","75,000","개인","개인","1990","탄리로30번길","-","중개거래","경기 성남시 수정구"
"88","경기도 성남시 수정구 수진동","1***","다가구","8m미만","128.59","70.70","202603","15","96,000","개인","개인","1994","제일로124번길","-","중개거래","경기 성남시 수정구"
"89","경기도 성남시 수정구 수진동","1***","다가구","8m미만","123.72","66.80","202603","15","91,000","개인","개인","1988","산성대로173번길","-","중개거래","경기 성남시 수정구"
"90","경기도 성남시 수정구 수진동","2***","다가구","8m미만","129.51","69.40","202603","14","96,400","개인","개인","1991","산성대로157번길","-","중개거래","경기 성남시 분당구, 경기 성남시 수정구"
"91","경기도 성남시 수정구 신흥동","3***","다가구","8m미만","104.57","59.50","202603","14","75,000","개인","개인","1990","산성대로269번길","-","중개거래","경기 성남시 수정구"
"92","경기도 성남시 수정구 수진동","1***","단독","8m미만","124.41","62.50","202603","14","96,300","개인","개인","1989","제일로110번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"93","경기도 성남시 수정구 수진동","1***","다가구","8m미만","119.90","70.40","202603","14","93,000","개인","개인","1989","탄리로25번길","-","중개거래","경기 성남시 수정구"
"94","경기도 성남시 수정구 수진동","9**","다가구","8m미만","117.46","68.10","202603","14","95,800","개인","개인","1990","수정남로60번길","-","중개거래","경기 성남시 수정구"
"95","경기도 성남시 수정구 신흥동","5***","다가구","8m미만","125.40","64.50","202603","13","78,000","개인","개인","1991","수정남로98번길","-","중개거래","경기 성남시 수정구"
"96","경기도 성남시 수정구 수진동","2***","다가구","8m미만","123.26","67.10","202603","12","93,000","개인","개인","1988","탄리로13번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"97","경기도 성남시 수정구 태평동","4***","다가구","8m미만","76.94","61.50","202603","12","56,500","개인","개인","2007","남문로47번길","-","중개거래","경기 성남시 수정구"
"98","경기도 성남시 수정구 신흥동","6***","단독","8m미만","98.84","56.90","202603","12","80,000","개인","개인","1989","탄리로52번길","-","중개거래","경기 성남시 수정구"
"99","경기도 성남시 수정구 신흥동","3***","단독","8m미만","62.42","62.50","202603","12","75,000","개인","개인","1982","수정로220번길","-","중개거래","경기 성남시 수정구"
"100","경기도 성남시 수정구 신흥동","4***","다가구","8m미만","108.76","67.80","202603","11","82,000","개인","개인","1987","산성대로225번길","-","중개거래","경기 성남시 수정구"
"101","경기도 성남시 수정구 수진동","2***","단독","8m미만","144.48","59.80","202603","11","98,500","개인","개인","1992","산성대로157번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"102","경기도 성남시 수정구 수진동","2***","다가구","8m미만","142.08","61.50","202603","11","97,000","개인","개인","1993","제일로102번길","-","중개거래","경기 성남시 수정구, 경기 수원시 영통구"
"103","경기도 성남시 수정구 태평동","1***","단독","8m미만","107.96","60.50","202603","10","39,500","개인","개인","1997","탄리로146번길","-","중개거래","경기 광명시, 경기 성남시 중원구"
"104","경기도 성남시 수정구 신흥동","5***","다가구","8m미만","210.81","75.80","202603","10","99,500","개인","개인","2007","수정로170번길","-","중개거래","경기 성남시 수정구, 전북 익산시"
"105","경기도 성남시 수정구 신흥동","5***","단독","12m미만","90.61","63.50","202603","10","93,000","개인","개인","1972","수정남로86번길","-","중개거래","경기 성남시 수정구"
"106","경기도 성남시 수정구 태평동","5***","단독","8m미만","107.43","63.50","202603","08","58,000","개인","개인","1990","제일로197번길","-","중개거래","경기 성남시 수정구"
"107","경기도 성남시 수정구 신흥동","6***","단독","8m미만","104.88","60.20","202603","07","77,800","개인","개인","1996","탄리로16번길","-","중개거래","경기 성남시 수정구"
"108","경기도 성남시 수정구 수진동","1***","다가구","8m미만","129.22","65.10","202603","07","91,000","개인","개인","2003","제일로124번길","-","중개거래","경기 성남시 수정구"
"109","경기도 성남시 수정구 신흥동","6***","단독","25m미만","164.20","158.40","202603","07","155,000","개인","개인","1981","탄리로","-","중개거래","경기 광주시, 경기 성남시 중원구"
"110","경기도 성남시 수정구 태평동","4***","다가구","8m미만","115.36","65.50","202603","05","52,600","개인","개인","1989","탄리로137번길","-","중개거래","경기 성남시 수정구"
"111","경기도 성남시 수정구 신흥동","3***","단독","8m미만","42.38","56.50","202603","04","65,000","개인","개인","1980","수정남로176번길","-","중개거래","경기 성남시 수정구"
"112","경기도 성남시 수정구 수진동","4***","다가구","8m미만","149.48","93.20","202603","04","31,600","개인","개인","1990","모란로","-","직거래","-"
"113","경기도 성남시 수정구 수진동","3***","다가구","8m미만","130.34","65.10","202603","04","82,000","개인","개인","2001","수정남로26번길","-","중개거래","경기 성남시 수정구"
"114","경기도 성남시 수정구 수진동","2***","다가구","8m미만","121.32","62.50","202603","04","94,000","개인","개인","1993","산성대로149번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"115","경기도 성남시 수정구 태평동","1***","단독","8m미만","71.40","66.10","202603","04","31,000","개인","개인","1984","시민로249번길","-","중개거래","경기 성남시 수정구"
"116","경기도 성남시 수정구 신흥동","4***","단독","8m미만","42.02","62.10","202603","03","74,000","개인","개인","1972","산성대로215번길","-","중개거래","경기 성남시 수정구"
"117","경기도 성남시 수정구 신흥동","5***","다가구","8m미만","94.86","53.90","202603","03","75,500","개인","개인","2006","수정로170번길","-","중개거래","경기 성남시 수정구"
"118","경기도 성남시 수정구 단대동","1**","다가구","8m미만","198.14","99.20","202603","02","82,000","개인","개인","1991","산성대로387번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"119","경기도 성남시 수정구 신흥동","5***","단독","8m미만","37.55","62.50","202603","02","73,000","개인","개인","1975","수정로170번길","-","중개거래","경기 성남시 수정구"
"120","경기도 성남시 수정구 태평동","2***","다가구","8m미만","140.93","74.00","202603","01","46,000","개인","개인","1991","남문로111번길","-","중개거래","경기 성남시 수정구"
"121","경기도 성남시 수정구 신흥동","6***","다가구","8m미만","181.98","75.70","202602","28","90,000","개인","개인","1990","탄리로52번길","-","중개거래","경기 성남시 수정구"
"122","경기도 성남시 수정구 수진동","3***","다가구","8m미만","108.00","57.20","202602","28","79,000","개인","개인","2014","성남대로1194번길","-","중개거래","경기 성남시 수정구"
"123","경기도 성남시 수정구 수진동","1***","다가구","8m미만","139.97","63.50","202602","28","95,000","개인","개인","1992","제일로110번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"124","경기도 성남시 수정구 수진동","3***","다가구","8m미만","115.99","64.50","202602","28","76,000","개인","개인","0972","수정남로26번길","-","중개거래","경기 성남시 수정구"
"125","경기도 성남시 수정구 신흥동","6***","단독","8m미만","50.91","59.50","202602","28","73,000","개인","개인","1973","수정로154번길","-","중개거래","경기 성남시 수정구"
"126","경기도 성남시 수정구 신흥동","3***","다가구","8m미만","142.44","57.90","202602","28","80,000","개인","개인","1991","시민로150번길","-","중개거래","경기 성남시 수정구"
"127","경기도 성남시 수정구 신흥동","6***","단독","8m미만","148.11","82.60","202602","28","91,500","개인","개인","1991","탄리로42번길","-","중개거래","경기 성남시 수정구"
"128","경기도 성남시 수정구 신흥동","6***","다가구","8m미만","121.55","60.50","202602","27","83,000","개인","개인","1994","수정로154번길","-","중개거래","경기 성남시 수정구"
"129","경기도 성남시 수정구 신흥동","5***","다가구","8m미만","148.16","69.40","202602","27","75,000","개인","개인","1992","수정로180번길","-","중개거래","서울 강동구"
"130","경기도 성남시 수정구 신흥동","5***","다가구","8m미만","121.73","72.10","202602","27","70,000","개인","개인","1989","수정남로86번길","-","직거래","-"
"131","경기도 성남시 수정구 수진동","7**","단독","8m미만","47.57","60.80","202602","26","79,000","개인","개인","1981","탄리로45번길","-","중개거래","경기 성남시 수정구, 경기 용인시 수지구"
"132","경기도 성남시 수정구 태평동","1***","다가구","8m미만","113.87","64.10","202602","26","34,000","개인","개인","1990","태평로126번길","-","직거래","-"
"133","경기도 성남시 수정구 태평동","4**","단독","8m미만","94.31","63.50","202602","26","35,250","개인","개인","1987","태평로82번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"134","경기도 성남시 수정구 신흥동","4***","다가구","8m미만","136.92","62.10","202602","25","86,000","개인","개인","2006","수정로180번길","-","중개거래","경기 성남시 수정구"
"135","경기도 성남시 수정구 수진동","1**","다가구","8m미만","172.20","67.10","202602","24","65,176","개인","법인","1988","수정남로48번길","-","직거래","-"
"136","경기도 성남시 수정구 태평동","5***","단독","8m미만","179.28","67.10","202602","24","55,000","개인","개인","1992","제일로223번길","-","중개거래","경기 성남시 수정구"
"137","경기도 성남시 수정구 태평동","6***","다가구","8m미만","100.46","57.50","202602","24","54,500","개인","개인","1991","수정북로11번길","-","중개거래","경기 성남시 수정구"
"138","경기도 성남시 수정구 신흥동","5***","다가구","8m미만","107.91","59.50","202602","24","85,000","개인","개인","1990","수정로170번길","-","중개거래","경기 성남시 수정구"
"139","경기도 성남시 수정구 수진동","1***","단독","8m미만","39.44","63.10","202602","23","86,000","개인","개인","1985","제일로124번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"140","경기도 성남시 수정구 수진동","1***","다가구","8m미만","116.40","56.50","202602","23","90,000","개인","개인","2006","수정남로52번길","-","중개거래","경기 성남시 수정구"
