"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"53","경기도 성남시 중원구 은행동","594","0594","0000","(594-0)","35.7200","25.0000","202604","15","12,000","-1","개인","개인","1991","순환로461번길 6","-","직거래","-","26.04.16"
"54","경기도 성남시 중원구 은행동","1766","1766","0000","와룡빌라","32.7600","9.0070","202604","15","12,800","3","개인","개인","1995","은행로 42","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"55","경기도 성남시 중원구 하대원동","125-8","0125","0008","주연빌","54.5300","36.9200","202604","15","24,000","2","개인","개인","2023","원터로38번길 12-1","-","직거래","-","-"
"56","경기도 성남시 중원구 은행동","1391","1391","0000","성일빌라(3차)","43.7700","11.8100","202604","15","11,900","-1","개인","개인","1993","산성대로516번길 28","-","중개거래","경기 성남시 중원구","-"
"57","경기도 성남시 중원구 은행동","827","0827","0000","거산빌라","29.5700","9.1000","202604","15","9,100","-1","법인","개인","1995","은이로41번길 23","-","중개거래","경기 성남시 중원구","26.04.21"
"58","경기도 성남시 중원구 하대원동","217","0217","0000","자이아트빌","49.1500","37.3100","202604","14","25,000","2","개인","개인","2007","둔촌대로363번길 16","-","중개거래","경기 성남시 중원구","-"
"59","경기도 성남시 중원구 금광동","2960","2960","0000","(2960-0)","35.4200","14.2590","202604","14","28,000","1","개인","개인","1988","금빛로 79","-","중개거래","경기 성남시 중원구","-"
"60","경기도 성남시 중원구 금광동","3909","3909","0000","대원하임","59.1200","33.3690","202604","14","39,000","5","개인","개인","2012","자혜로16번길 27","-","중개거래","경기 성남시 중원구","-"
"61","경기도 성남시 중원구 하대원동","128-20","0128","0020","라인맨션","73.5600","30.4200","202604","14","36,500","3","개인","개인","2000","둔촌대로 261-1","-","중개거래","경기 성남시 중원구","-"
"62","경기도 성남시 중원구 은행동","1889-1","1889","0001","금능빌라(D)","26.1600","8.1400","202604","14","9,800","4","법인","개인","1995","은행로38번길 15-2","-","중개거래","경기 성남시 수정구","26.04.28"
