"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"53","경기도 성남시 분당구 율동","1**","단독","8m미만","308.83","460.00","202510","15","170,000","개인","개인","2004","새마을로233번길","-","직거래","-"
"54","경기도 성남시 분당구 구미동","2**","단독","8m미만","381.74","441.10","202510","14","283,000","개인","개인","2008","구미로144번길","-","중개거래","서울 서초구"
"55","경기도 성남시 분당구 판교동","5**","다가구","12m미만","378.87","265.10","202510","14","263,000","개인","개인","2010","서판교로58번길","-","중개거래","경기 성남시 분당구"
"56","경기도 성남시 분당구 운중동","9**","단독","12m미만","179.91","223.40","202510","11","212,000","개인","개인","2012","운중로14번길","20260106","중개거래","경기 성남시 분당구"
"57","경기도 성남시 분당구 운중동","9**","단독","12m미만","179.91","223.40","202510","11","202,000","개인","개인","2012","운중로14번길","-","중개거래","경기 성남시 분당구"
"58","경기도 성남시 분당구 정자동","2**","다가구","8m미만","424.80","212.60","202510","09","180,000","개인","개인","2000","불곡남로29번길","-","중개거래","경기 성남시 분당구"
"59","경기도 성남시 분당구 서현동","3**","다가구","8m미만","448.00","227.40","202510","03","162,000","개인","개인","1995","불정로426번길","-","중개거래","경기 성남시 분당구"
"60","경기도 성남시 분당구 정자동","2**","다가구","12m미만","418.84","211.10","202509","29","153,500","개인","개인","1997","불곡남로21번길","-","중개거래","경기 성남시 분당구"
"61","경기도 성남시 분당구 야탑동","2**","단독","12m미만","453.94","231.10","202509","28","189,500","개인","개인","2001","매화로56번길","-","중개거래","경기 성남시 분당구"
"62","경기도 성남시 분당구 이매동","5*","다가구","8m미만","207.48","363.66","202509","18","104,000","개인","개인","2001","방아로46번길","-","중개거래","경기 성남시 분당구"
"63","경기도 성남시 분당구 수내동","1**","다가구","12m미만","378.47","197.70","202509","15","161,000","개인","개인","1996","발이봉북로35번길","-","중개거래","경기 성남시 수정구, 경기 용인시 기흥구"
"64","경기도 성남시 분당구 수내동","1**","다가구","8m미만","432.57","219.90","202509","10","128,000","개인","개인","1997","발이봉북로35번길","-","중개거래","경기 성남시 분당구"
"65","경기도 성남시 분당구 수내동","9*","다가구","8m미만","406.72","204.70","202509","08","176,000","개인","개인","2000","발이봉로7번길","-","중개거래","경기 성남시 분당구"
"66","경기도 성남시 분당구 정자동","2**","다가구","8m미만","452.34","226.60","202509","06","155,000","개인","개인","1997","불곡남로17번길","-","중개거래","경기 성남시 분당구"
"67","경기도 성남시 분당구 분당동","1**","다가구","12m미만","499.68","251.80","202509","01","210,000","개인","개인","2000","선지봉로","-","중개거래","경기 성남시 분당구"
"68","경기도 성남시 분당구 정자동","5*","다가구","8m미만","433.30","227.20","202508","30","196,000","개인","개인","1995","내정로113번길","-","중개거래","경기 성남시 분당구"
"69","경기도 성남시 분당구 대장동","5**","단독","8m미만","182.93","706.00","202508","29","226,000","법인","개인","2001","벌장투리로24번길","-","직거래","-"
"70","경기도 성남시 분당구 운중동","9**","다가구","25m미만","607.14","408.20","202508","20","470,000","법인","개인","2010","산운로160번길","-","직거래","-"
"71","경기도 성남시 분당구 수내동","1**","다가구","8m미만","332.10","224.00","202508","20","163,000","개인","개인","1998","발이봉북로24번길","-","중개거래","경기 성남시 분당구"
