"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"40","경기도 성남시 수정구 신흥동","2487","2487","0000","더그린시티","66.0145","202603","07","52,223","14","개인","법인","2024","산성대로283번길 6-10","-","직거래","-"
"41","경기도 성남시 수정구 창곡동","505","0505","0000","위례 한화 오벨리스크 센트럴스퀘어","65.7300","202603","06","72,500","12","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
"42","경기도 성남시 수정구 신흥동","2555","2555","0000","더 하우스 스테이션","59.4700","202603","04","34,000","3","개인","개인","2018","공원로339번길 3-1","-","중개거래","경기 성남시 수정구"
"43","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","35.4330","202603","02","33,500","10","개인","개인","2018"," ","-","중개거래","경기 성남시 수정구"
"44","경기도 성남시 수정구 신흥동","2487","2487","0000","더그린시티","65.1836","202602","28","51,695","11","개인","법인","2024","산성대로283번길 6-10","-","직거래","-"
"45","경기도 성남시 수정구 신흥동","3441","3441","0000","프라임시티","84.6400","202602","27","45,000","7","개인","개인","2017","수정남로144번길 6","-","중개거래","경기 성남시 수정구"
"46","경기도 성남시 수정구 창곡동","562-1","0562","0001","위례KCC웰츠타워","50.7500","202602","23","45,000","16","개인","개인","2018","위례광장로 21-9","-","중개거래","경기 김포시, 경기 성남시 수정구"
"47","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","19.8500","202602","20","14,800","9","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
"48","경기도 성남시 수정구 신흥동","2487","2487","0000","더그린시티","65.1836","202602","19","51,168","6","개인","법인","2024","산성대로283번길 6-10","20260406","직거래","-"
"49","경기도 성남시 수정구 태평동","3507","3507","0000","웅진베어스빌","59.8300","202602","14","31,000","17","개인","개인","2019","탄리로 73","-","중개거래","경기 성남시 수정구"
"50","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","19.7400","202602","12","14,500","5","개인","개인","2017"," ","-","직거래","-"
"51","경기도 성남시 수정구 신흥동","4230","4230","0000","미래타운5차","67.4031","202602","07","42,500","9","개인","개인","2021","시민로133번길 9","-","중개거래","경기 성남시 수정구"
"52","경기도 성남시 수정구 신흥동","3438","3438","0000","비앤비그라티아","45.8080","202602","07","25,500","13","개인","개인","2019","시민로 168-1","-","중개거래","경기 성남시 수정구"
"53","경기도 성남시 수정구 신흥동","2463-4","2463","0004","한신프라자","31.9800","202602","02","12,000","8","개인","개인","1992","산성대로 331","-","중개거래","경기 성남시 수정구"
"54","경기도 성남시 수정구 태평동","6519-1","6519","0001","태평동오피스텔","23.0400","202602","02","12,000","7","개인","개인","2003","수정로73번길 7","-","중개거래","경기 성남시 수정구"
"55","경기도 성남시 수정구 신흥동","5490","5490","0000","렉스타워","82.0920","202602","01","52,000","12","개인","법인","2023","수정남로 131","-","중개거래","경기 성남시 수정구"
"56","경기도 성남시 수정구 신흥동","2463-4","2463","0004","한신프라자","25.9200","202601","28","10,900","9","법인","개인","1992","산성대로 331","-","중개거래","경기 성남시 수정구"
"57","경기도 성남시 수정구 창곡동","562-1","0562","0001","위례KCC웰츠타워","50.7500","202601","27","37,000","7","개인","개인","2018","위례광장로 21-9","-","직거래","-"
"58","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","44.1050","202601","27","41,000","10","개인","개인","2018"," ","-","중개거래","경기 성남시 수정구"
"59","경기도 성남시 수정구 신흥동","2563","2563","0000","더하우스 스테이션Ⅱ","69.6100","202601","26","39,950","16","개인","개인","2020","공원로339번길 17","-","중개거래","경기 성남시 수정구"
"60","경기도 성남시 수정구 태평동","6524","6524","0000","코지팰리스","73.7100","202601","24","48,000","9","개인","개인","2020","성남대로 1246","-","중개거래","경기 성남시 수정구"
"61","경기도 성남시 수정구 시흥동","339","0339","0000","판교아이스퀘어","23.5303","202601","24","25,500","6","개인","개인","2021","창업로 17","-","중개거래","경기 성남시 수정구"
