"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"51","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.1835","202603","13","16,700","8","법인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"52","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","20.0443","202603","11","14,800","11","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"53","경기도 성남시 중원구 성남동","2164","2164","0000","영건센스빌","34.5100","202603","10","14,000","11","개인","개인","2004","산성대로 198","-","중개거래","경기 성남시 중원구"
"54","경기도 성남시 중원구 성남동","2201","2201","0000","수진역 코아루 천년가 오피스텔","30.3300","202603","10","19,000","6","개인","개인","2019","광명로 103","-","중개거래","경기 성남시 중원구"
"55","경기도 성남시 중원구 성남동","2264","2264","0000","성남 모란 지웰에스테이트","26.2159","202603","09","18,000","13","개인","개인","2020","광명로 67","-","중개거래","경기 성남시 중원구"
"56","경기도 성남시 중원구 여수동","205","0205","0000","신야탑 푸르지오시티Ⅰ","29.0500","202603","09","16,500","6","개인","개인","2013","양현로405번길 5","-","중개거래","경기 성남시 중원구"
"57","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.5402","202603","07","16,500","8","개인","법인","2017","광명로 89","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구"
"58","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.1835","202603","07","15,900","7","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"59","경기도 성남시 중원구 여수동","197","0197","0000","바우하임","26.4600","202603","06","20,000","10","개인","개인","2019","양현로405번길 16-10","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구"
"60","경기도 성남시 중원구 성남동","4169","4169","0000","성남 메트로칸","45.2400","202603","06","25,000","6","개인","개인","2011","성남대로 1133","-","중개거래","경기 성남시 중원구"
"61","경기도 성남시 중원구 성남동","2759","2759","0000","미래타운","50.0700","202603","06","30,300","6","개인","개인","2019","광명로142번길 3","-","중개거래","경기 성남시 중원구"
"62","경기도 성남시 중원구 성남동","2167","2167","0000","성남 수진역 더리브 프리미어","21.9000","202603","05","22,000","14","개인","개인","2024","산성대로 194","-","직거래","-"
"63","경기도 성남시 중원구 성남동","2164","2164","0000","영건센스빌","34.5100","202603","04","12,800","6","개인","개인","2004","산성대로 198","-","중개거래","경기 성남시 중원구"
"64","경기도 성남시 중원구 성남동","2333","2333","0000","에클라트 휴","81.1600","202603","03","50,000","4","개인","개인","2023","광명로82번길 6","-","직거래","-"
"65","경기도 성남시 중원구 성남동","2333","2333","0000","에클라트 휴","81.0300","202602","27","50,000","4","개인","개인","2023","광명로82번길 6","-","직거래","-"
"66","경기도 성남시 중원구 여수동","205","0205","0000","신야탑 푸르지오시티Ⅰ","36.7500","202602","26","20,500","8","법인","개인","2013","양현로405번길 5","-","직거래","-"
"67","경기도 성남시 중원구 성남동","2167","2167","0000","성남 수진역 더리브 프리미어","39.9800","202602","26","28,500","14","개인","개인","2024","산성대로 194","-","중개거래","경기 성남시 중원구"
"68","경기도 성남시 중원구 도촌동","571","0571","0000","도촌파크오피스텔","19.4700","202602","25","7,500","4","개인","개인","2010","도촌로8번길 20","-","중개거래","경기 성남시 중원구"
"69","경기도 성남시 중원구 성남동","3135","3135","0000","지앤느 모란","21.4200","202602","24","14,900","6","개인","개인","2020","산성대로 136","-","중개거래","경기 성남시 중원구"
"70","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","20.0443","202602","23","14,800","8","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"71","경기도 성남시 중원구 여수동","201","0201","0000","시티파크","21.5900","202602","23","16,800","6","개인","개인","2019","양현로405번길 17","-","중개거래","경기 성남시 중원구"
"72","경기도 성남시 중원구 여수동","205","0205","0000","신야탑 푸르지오시티Ⅰ","36.7500","202602","21","21,000","4","개인","개인","2013","양현로405번길 5","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구"
"73","경기도 성남시 중원구 성남동","2264","2264","0000","성남 모란 지웰에스테이트","25.5199","202602","21","17,000","10","개인","개인","2020","광명로 67","-","중개거래","경기 성남시 중원구"
"74","경기도 성남시 중원구 성남동","2201","2201","0000","수진역 코아루 천년가 오피스텔","25.0000","202602","21","16,000","14","개인","개인","2019","광명로 103","-","중개거래","경기 성남시 중원구"
"75","경기도 성남시 중원구 여수동","183","0183","0000","성남 여수 오렌지카운티","25.1700","202602","13","18,100","8","개인","개인","2019","성남대로 993","-","중개거래","경기 성남시 중원구"
"76","경기도 성남시 중원구 성남동","2264","2264","0000","성남 모란 지웰에스테이트","25.5199","202602","13","16,000","3","개인","개인","2020","광명로 67","-","직거래","-"
"77","경기도 성남시 중원구 성남동","2201","2201","0000","수진역 코아루 천년가 오피스텔","54.1500","202602","12","31,800","5","개인","개인","2019","광명로 103","-","중개거래","경기 성남시 중원구"
"78","경기도 성남시 중원구 성남동","4933","4933","0000","성남아리스타","15.7620","202602","10","9,600","7","개인","법인","2020","둔촌대로80번길 3-10","-","중개거래","경기 성남시 중원구"
"79","경기도 성남시 중원구 성남동","4169","4169","0000","성남 메트로칸","35.4700","202602","08","20,000","12","개인","개인","2011","성남대로 1133","-","중개거래","경기 성남시 중원구"
"80","경기도 성남시 중원구 성남동","2333","2333","0000","에클라트 휴","81.0300","202602","06","53,000","5","개인","개인","2023","광명로82번길 6","-","직거래","-"
"81","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","20.3867","202602","06","14,900","10","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"82","경기도 성남시 중원구 성남동","4933","4933","0000","성남아리스타","18.3700","202602","05","16,000","4","개인","개인","2020","둔촌대로80번길 3-10","-","중개거래","경기 성남시 중원구"
"83","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.5402","202602","01","16,000","2","개인","개인","2017","광명로 89","-","중개거래","경기 광주시, 경기 성남시 중원구"
"84","경기도 성남시 중원구 성남동","4169","4169","0000","성남 메트로칸","47.1800","202601","31","25,500","8","개인","개인","2011","성남대로 1133","-","중개거래","경기 성남시 중원구"
