"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"81","경기도 성남시 분당구 야탑동","185","0185","0000","목련마을화성빌리지","71.7700","85.7510","202602","07","114,000","2","개인","개인","1994","야탑로271번길 28","-","중개거래","경기 성남시 분당구","-"
"82","경기도 성남시 분당구 야탑동","185","0185","0000","목련마을화성빌리지","71.7700","85.7510","202602","07","114,000","2","개인","개인","1994","야탑로271번길 28","20260319","중개거래","경기 성남시 분당구","-"
"83","경기도 성남시 분당구 대장동","577-1","0577","0001","써밋스페이스(105동,106동)","42.0300","52.7070","202602","05","24,000","3","개인","법인","2017","벌장투리로23번길 2","-","중개거래","경기 용인시 수지구","26.04.09"
"84","경기도 성남시 분당구 운중동","307","0307","0000","운중동푸르지오하임","84.7100","143.6970","202602","01","120,800","4","개인","개인","2012","하오개로 377","-","중개거래","경기 성남시 분당구","26.03.06"
"85","경기도 성남시 분당구 야탑동","512","0512","0000","탑마을동아","56.5200","63.9440","202601","31","102,000","4","개인","개인","1994","성남대로 884-4","-","중개거래","경기 성남시 분당구","-"
"86","경기도 성남시 분당구 서현동","209-1","0209","0001","서현더힐(101동,102동)","99.5400","94.8700","202601","31","45,000","-1","개인","개인","2018","안골로11번길 13","-","직거래","-","26.03.17"
"87","경기도 성남시 분당구 야탑동","512","0512","0000","탑마을동아","56.5200","63.9440","202601","31","102,000","4","개인","개인","1994","성남대로 884-4","20260415","중개거래","경기 성남시 분당구","-"
"88","경기도 성남시 분당구 대장동","590","0590","0000","판교SKVIEWTerrace","84.9906","119.0806","202601","29","125,000","3","개인","개인","2023","판교대장로7길 37","-","중개거래","경기 성남시 분당구, 경기 용인시 수지구","26.04.21"
"89","경기도 성남시 분당구 분당동","113","0113","0000","장안타운(건영빌라)","84.8800","96.2650","202601","29","160,000","4","개인","개인","1995","서현로 471","-","중개거래","경기 성남시 분당구","26.05.04"
"90","경기도 성남시 분당구 운중동","362","0362","0000","운중샤갈의마을(101,102,103동)","70.8908","83.4034","202601","28","61,790","4","개인","법인","2019","하오개로351번길 24","-","직거래","-","26.02.26"
