"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"39","경기도 성남시 중원구 금광동","2600","2600","0000","한양수자인성남마크뷰","59.8423","202604","22","80,000","-","19","개인","개인","2021","광명로 411","-","중개거래","경기 성남시 중원구","-"
"40","경기도 성남시 중원구 금광동","2627","2627","0000","현대","68.8500","202604","22","46,000","-","6","개인","개인","1994","광명로395번길 7","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구","-"
"41","경기도 성남시 중원구 성남동","3126","3126","0000","금호어울림","84.9600","202604","22","92,000","-","13","개인","개인","2006","둔촌대로171번길 6","-","중개거래","경기 성남시 중원구","-"
"42","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","51.9300","202604","21","92,000","-","13","개인","개인","2015","여수울로 51","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구","-"
"43","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","66.5600","202604","21","90,000","-","9","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 수정구","-"
"44","경기도 성남시 중원구 금광동","1020","1020","0000","e편한세상금빛그랑메종5단지","59.9800","202604","21","64,000","-","13","개인","개인","2023","금광로 72","-","직거래","-","-"
"45","경기도 성남시 중원구 도촌동","700","0700","0000","LH동분당센트럴파크","74.9500","202604","21","100,000","-","11","개인","개인","2010","도촌남로 22","-","중개거래","경기 성남시 분당구","-"
"46","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","83.8200","202604","21","86,700","-","3","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구","-"
"47","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","67.2800","202604","20","70,000","-","1","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구","-"
"48","경기도 성남시 중원구 하대원동","249","0249","0000","아튼빌","59.9100","202604","20","60,000","-","1","개인","개인","2003","둔촌대로 300","-","중개거래","경기 성남시 중원구","-"
