"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"40","경기도 성남시 수정구 단대동","6","0006","0000","선경논골","34.0500","202604","18","24,000","-","12","개인","개인","1991","논골로 87","-","중개거래","경기 성남시 수정구","-"
"41","경기도 성남시 수정구 수진동","4663","4663","0000","삼부","59.7600","202604","18","83,000","-","10","개인","개인","1996","모란로 65","-","중개거래","경기 성남시 수정구","-"
"42","경기도 성남시 수정구 신흥동","6961","6961","0000","산성역자이푸르지오1단지","59.9700","202604","18","127,000","-","22","개인","개인","2024","수정로 260","-","중개거래","경기 성남시 수정구","-"
"43","경기도 성남시 수정구 신흥동","6971","6971","0000","산성역자이푸르지오3단지","51.9400","202604","18","112,000","-","22","개인","개인","2024","희망로 531","-","중개거래","경기 성남시 수정구","-"
"44","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","74.9600","202604","18","140,000","-","18","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구, 경기 안양시 동안구","-"
"45","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9826","202604","18","121,000","-","4","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"46","경기도 성남시 수정구 양지동","1021","1021","0000","양우내안애","59.9500","202604","17","54,000","-","7","개인","개인","2010","논골로 24","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"47","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9959","202604","17","125,000","-","11","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"48","경기도 성남시 수정구 신흥동","2464-1","2464","0001","청구","84.9900","202604","17","89,000","-","10","개인","개인","1994","공원로 340","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"49","경기도 성남시 수정구 신흥동","2465-7","2465","0007","신동아파라디움","84.6300","202604","17","79,800","-","7","개인","개인","2006","공원로 322","-","중개거래","경기 성남시 수정구","-"
"50","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","74.9800","202604","17","144,000","-","27","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구","-"
"51","경기도 성남시 수정구 양지동","1022","1022","0000","우성에비뉴","84.9620","202604","17","64,000","-","3","개인","개인","2011","논골로36번길 15","-","중개거래","경기 성남시 중원구","-"
"52","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","59.8400","202604","16","91,000","-","24","개인","개인","2020","수정로 319","-","중개거래","서울 송파구","-"
"53","경기도 성남시 수정구 태평동","6513","6513","0000","삼능스페이스향","81.8881","202604","16","60,000","-","11","개인","개인","2005","성남대로 1238","-","중개거래","경기 성남시 수정구","-"
"54","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.8324","202604","16","129,500","-","7","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"55","경기도 성남시 수정구 수진동","4002","4002","0000","밀란체2","81.0647","202604","16","57,000","밀란체2","10","개인","개인","2006","산성대로93번길 25","-","중개거래","경기 성남시 수정구","26.04.24"
"56","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9826","202604","16","123,300","-","5","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"57","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","67.8600","202604","16","135,300","-","18","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구","-"
"58","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","67.8600","202604","16","135,000","-","4","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구","-"
"59","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","98.6800","202604","16","150,000","-","22","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구","-"
"60","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.8324","202604","15","127,700","-","10","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"61","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","74.9600","202604","15","142,000","-","13","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구","-"
"62","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","74.9600","202604","15","143,000","-","17","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구","-"
"63","경기도 성남시 수정구 고등동","585","0585","0000","판교밸리자이2단지","60.9892","202604","15","109,000","-","9","개인","개인","2023","대왕판교로 981","-","중개거래","경기 성남시 수정구","-"
"64","경기도 성남시 수정구 신흥동","6963","6963","0000","산성역자이푸르지오2단지","74.9600","202604","15","135,000","-","15","개인","개인","2024","수정로 288","-","중개거래","경기 성남시 수정구, 서울 강남구","-"
"65","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9387","202604","15","132,400","-","12","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"66","경기도 성남시 수정구 태평동","7344","7344","0000","가천대역동부센트레빌2단지","84.9100","202604","15","79,500","-","4","개인","개인","2007","제일로 244","-","중개거래","경기 성남시 수정구","-"
"67","경기도 성남시 수정구 고등동","592","0592","0000","판교밸리호반써밋","84.9872","202604","15","120,500","-","2","개인","개인","2019","고등로 34","-","중개거래","경기 성남시 수정구","-"
"68","경기도 성남시 수정구 창곡동","521","0521","0000","위례더힐55","85.4621","202604","14","159,000","-","14","개인","개인","2015","위례순환로 220","-","중개거래","경기 성남시 수정구","-"
"69","경기도 성남시 수정구 단대동","66-1","0066","0001","미래아트","55.3210","202604","14","24,500","-","3","개인","개인","2002","논골로11번길 3","-","중개거래","경기 성남시 수정구","-"
"70","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9387","202604","14","131,200","-","8","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"71","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","84.9200","202604","14","155,000","-","15","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구","-"
"72","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.8324","202604","14","120,200","-","4","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"73","경기도 성남시 수정구 창곡동","521","0521","0000","위례더힐55","85.7614","202604","14","159,000","-","16","개인","개인","2015","위례순환로 220","-","중개거래","경기 성남시 수정구","-"
"74","경기도 성남시 수정구 신흥동","6963","6963","0000","산성역자이푸르지오2단지","59.9800","202604","13","129,000","-","12","개인","개인","2024","수정로 288","-","중개거래","경기 성남시 수정구, 서울 강동구","-"
"75","경기도 성남시 수정구 신흥동","6963","6963","0000","산성역자이푸르지오2단지","59.9800","202604","13","127,000","-","10","개인","개인","2024","수정로 288","-","중개거래","경기 성남시 수정구","-"
"76","경기도 성남시 수정구 양지동","94","0094","0000","주원파크빌201","59.9800","202604","13","49,300","-","5","개인","개인","2004","수정로 568","-","중개거래","경기 성남시 중원구","-"
"77","경기도 성남시 수정구 고등동","592","0592","0000","판교밸리호반써밋","84.9872","202604","13","125,000","-","2","개인","개인","2019","고등로 34","-","중개거래","경기 성남시 수정구","-"
"78","경기도 성남시 수정구 단대동","100","0100","0000","단대푸르지오","84.7000","202604","13","129,000","-","5","개인","개인","2012","산성대로437번길 7","-","중개거래","경기 성남시 수정구","-"
"79","경기도 성남시 수정구 창곡동","521","0521","0000","위례더힐55","85.4621","202604","13","106,000","-","5","개인","개인","2015","위례순환로 220","-","중개거래","경기 성남시 수정구","-"
"80","경기도 성남시 수정구 신흥동","6961","6961","0000","산성역자이푸르지오1단지","74.9600","202604","13","80,000","-","19","개인","개인","2024","수정로 260","20260413","직거래","-","-"
"81","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","74.9800","202604","12","135,000","-","2","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구","-"
"82","경기도 성남시 수정구 단대동","124","0124","0000","진로","84.9000","202604","12","77,000","-","7","개인","개인","1998","단대로23번길 32","-","중개거래","경기 성남시 수정구","-"
"83","경기도 성남시 수정구 고등동","592","0592","0000","판교밸리호반써밋","84.9872","202604","12","110,000","-","11","개인","개인","2019","고등로 34","-","중개거래","경기 성남시 수정구, 서울 도봉구","-"
"84","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9910","202604","12","124,000","-","15","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"85","경기도 성남시 수정구 태평동","7346","7346","0000","가천대역두산위브","59.9729","202604","12","70,000","-","5","개인","개인","2018","태평로 65","-","중개거래","서울 송파구","-"
"86","경기도 성남시 수정구 신흥동","2465-7","2465","0007","신동아파라디움","136.6400","202604","11","100,000","-","17","개인","개인","2006","공원로 322","-","중개거래","경기 성남시 수정구","-"
