"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"40","경기도 성남시 수정구 수진동","4564","4564","0000","쌍용빌리지","59.8500","27.6200","202604","04","36,500","1","개인","개인","2002","수정로56번길 11","-","중개거래","경기 성남시 수정구","-"
"41","경기도 성남시 수정구 수진동","3026","3026","0000","평화골든빌","76.5700","21.6800","202604","04","32,000","5","개인","개인","2002","수정남로4번길 1","-","중개거래","경기 성남시 수정구","-"
"42","경기도 성남시 수정구 태평동","3216","3216","0000","위더스빌","49.4300","3.4745","202604","03","43,000","4","개인","개인","2018","남문로74번길 7","-","중개거래","경기 성남시 수정구","-"
"43","경기도 성남시 수정구 단대동","23-2","0023","0002","신안빌라","36.9200","10.1100","202604","03","22,000","4","개인","법인","1994","논골로61번길 4","-","중개거래","경기 성남시 수정구, 서울 송파구","26.04.28"
"44","경기도 성남시 수정구 양지동","90-1","0090","0001","(90-1)","45.7500","19.5000","202604","02","19,500","1","개인","개인","1994","수정로578번길 6","-","중개거래","경기 성남시 수정구","-"
"45","경기도 성남시 수정구 수진동","1171","1171","0000","(1171-0)","20.2000","25.3800","202604","02","71,500","3","개인","개인","2007","수정남로50번길 21-1","-","중개거래","경기 성남시 수정구","-"
"46","경기도 성남시 수정구 산성동","140-1","0140","0001","반석빌라(B동)","55.6400","135.9000","202603","31","30,000","2","개인","개인","1997","수정남로328번길 12","-","중개거래","경기 성남시 수정구","26.04.13"
"47","경기도 성남시 수정구 태평동","3578","3578","0000","화인맨션","57.3800","22.4970","202603","31","27,800","5","개인","개인","2003","수정로135번길 17","-","중개거래","경기 성남시 수정구","-"
"48","경기도 성남시 수정구 태평동","3619-1","3619","0001","스위스맨션","50.6500","24.8810","202603","30","25,500","1","개인","개인","2003","수정북로35번길 13","-","중개거래","경기 성남시 수정구","-"
"49","경기도 성남시 수정구 태평동","3186","3186","0000","(3186-0)","51.6300","34.3500","202603","30","23,000","2","개인","개인","1986","탄리로 104-3","-","중개거래","경기 성남시 수정구","-"
"50","경기도 성남시 수정구 단대동","43-2","0043","0002","진주빌라","36.5500","9.6200","202603","29","20,500","1","개인","개인","1995","논골로53번길 19-4","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"51","경기도 성남시 수정구 수진동","2679-6","2679","0006","예건(2679-6)","42.2000","25.5000","202603","28","80,000","3","개인","개인","2007","산성대로 153","-","중개거래","경기 성남시 수정구","-"
"52","경기도 성남시 수정구 단대동","29-4","0029","0004","한강빌라(2차)","42.1200","10.4800","202603","28","15,500","-1","개인","개인","1993","논골로53번길 4-3","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","26.04.13"
"53","경기도 성남시 수정구 단대동","34-1","0034","0001","진호빌라","50.5000","12.5600","202603","28","13,800","-1","개인","개인","1993","논골로53번길 14-3","-","중개거래","경기 성남시 중원구","26.04.20"
"54","경기도 성남시 수정구 산성동","93","0093","0000","산성씨티빌","50.9000","23.6250","202603","28","40,000","4","개인","개인","2006","수정남로332번길 5","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"55","경기도 성남시 수정구 산성동","482","0482","0000","한성빌라","37.0800","9.6200","202603","28","22,900","-1","개인","개인","1997","수정로456번길 74","-","중개거래","경기 성남시 수정구","26.04.10"
"56","경기도 성남시 수정구 산성동","13","0013","0000","파크빌","55.3200","11.3375","202603","27","40,000","3","개인","개인","2005","수정남로337번길 8","-","중개거래","경기 성남시 수정구","-"
"57","경기도 성남시 수정구 태평동","647","0647","0000","더하우스","55.7200","29.7400","202603","27","40,500","5","개인","개인","2016","태평로 58","-","중개거래","경기 성남시 수정구","26.04.10"
"58","경기도 성남시 수정구 태평동","3307-37","3307","0037","신성빌라","41.1300","20.5300","202603","26","16,850","2","개인","개인","1990","남문로102번길 7-2","-","중개거래","경기 성남시 수정구","-"
"59","경기도 성남시 수정구 단대동","46-6","0046","0006","거성빌라","43.3100","10.9700","202603","26","21,000","1","개인","개인","1993","논골로47번길 8-3","-","중개거래","경기 성남시 수정구","26.04.21"
"60","경기도 성남시 수정구 태평동","7173","7173","0000","대지골든빌라","52.0000","25.9100","202603","26","30,000","2","개인","개인","1991","성남대로1263번길 16-1","-","중개거래","경기 성남시 수정구","-"
"61","경기도 성남시 수정구 태평동","7213","7213","0000","하늘그린빌(1동2동)","66.2270","41.0900","202603","25","42,000","3","개인","개인","2015","모란로89번길 7","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"62","경기도 성남시 수정구 단대동","29-2","0029","0002","한강빌라","41.5600","10.6100","202603","23","22,000","1","개인","개인","1993","논골로53번길 4-9","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","26.04.24"
"63","경기도 성남시 수정구 태평동","3791","3791","0000","형제빌라","58.3400","36.8375","202603","23","26,000","3","개인","개인","1996","남문로62번길 7","-","중개거래","경기 성남시 수정구","26.04.23"
"64","경기도 성남시 수정구 사송동","537-2","0537","0002","그린빌","42.5900","35.4000","202603","21","20,000","2","개인","개인","2016","설개로89번길 7","-","중개거래","경기 성남시 수정구","-"
"65","경기도 성남시 수정구 태평동","3300-2","3300","0002","재연빌라(B동)","40.8700","24.8125","202603","21","19,700","1","개인","개인","1990","남문로94번길 20","-","중개거래","경기 성남시 수정구","-"
"66","경기도 성남시 수정구 신흥동","5385","5385","0000","(5385-0)","73.8000","33.9000","202603","20","83,000","1","개인","개인","2002","수정남로 110","-","중개거래","경기 성남시 수정구","26.04.27"
"67","경기도 성남시 수정구 태평동","6496","6496","0000","성일빌라","59.0700","29.6140","202603","20","23,000","-1","개인","개인","1994","수정로73번길 16-4","-","중개거래","경기 성남시 수정구","-"
"68","경기도 성남시 수정구 신흥동","2617-1","2617","0001","은하골든빌라","42.9700","16.8810","202603","19","67,000","2","개인","개인","1991","공원로345번길 10-1","-","중개거래","경기 성남시 수정구","-"
"69","경기도 성남시 수정구 태평동","3791","3791","0000","형제빌라","72.6600","294.7000","202603","18","30,000","2","개인","개인","1996","남문로62번길 7","-","직거래","-","-"
"70","경기도 성남시 수정구 태평동","5768","5768","0000","(5768-0)","46.2900","56.2000","202603","16","36,000","2","개인","개인","2007","남문로18번길 16","-","중개거래","경기 성남시 수정구","-"
"71","경기도 성남시 수정구 태평동","3778","3778","0000","송죽빌","59.2100","34.6300","202603","16","45,000","4","개인","개인","2021","남문로62번길 14","-","중개거래","경기 성남시 수정구","-"
"72","경기도 성남시 수정구 태평동","3559","3559","0000","행운맨션","63.9000","35.0300","202603","15","35,000","2","개인","개인","2002","탄리로95번길 7-12","-","중개거래","경기 성남시 수정구","-"
