"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"47","경기도 성남시 분당구 구미동","156","0156","0000","포스빌","35.6300","202604","20","15,500","4","개인","개인","2004","성남대로 51","-","중개거래","경기 성남시 분당구"
"48","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","60.0000","202604","20","21,700","5","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"49","경기도 성남시 분당구 정자동","27","0027","0000","정자 I′PARK","239.3500","202604","18","208,000","23","개인","개인","2002","백현로 100","-","중개거래","경기 성남시 분당구, 경기 용인시 기흥구"
"50","경기도 성남시 분당구 수내동","11-1","0011","0001","청구블루빌","42.1200","202604","18","21,000","3","개인","개인","2000","황새울로 224","20260430","중개거래","경기 성남시 분당구"
"51","경기도 성남시 분당구 금곡동","210","0210","0000","코오롱트리폴리스Ⅰ","51.2700","202604","18","37,500","16","개인","개인","2001","정자일로 1","-","중개거래","경기 성남시 분당구"
"52","경기도 성남시 분당구 야탑동","220-1","0220","0001","로잔티움파크","116.6210","202604","17","62,000","2","개인","개인","2004","벌말로50번길 42","-","중개거래","경기 성남시 분당구"
"53","경기도 성남시 분당구 수내동","21-2","0021","0002","현대판테온I오피스텔","135.1800","202604","17","128,700","18","개인","개인","2000","황새울로200번길 9-7","-","중개거래","경기 성남시 분당구"
"54","경기도 성남시 분당구 수내동","16-7","0016","0007","한솔인피니티오피스텔","34.2800","202604","17","17,000","5","개인","개인","2004","황새울로200번길 22","-","중개거래","경기 성남시 분당구"
"55","경기도 성남시 분당구 정자동","27","0027","0000","정자 I′PARK","78.2100","202604","17","83,000","18","개인","개인","2002","백현로 100","-","중개거래","경기 성남시 분당구"
"56","경기도 성남시 분당구 정자동","168-1","0168","0001","대림아크로텔","41.0850","202604","17","18,500","3","개인","개인","2004","성남대로 295","-","중개거래","경기 성남시 분당구"
"57","경기도 성남시 분당구 정자동","17-2","0017","0002","백궁 동양파라곤","56.3400","202604","17","59,500","13","개인","개인","2004","느티로 22","-","중개거래","경기 성남시 분당구"
"58","경기도 성남시 분당구 정자동","24","0024","0000","분당인텔리지2","26.8000","202604","16","21,000","32","개인","개인","2004","정자일로 177","-","중개거래","경기 성남시 분당구"
"59","경기도 성남시 분당구 수내동","23-1","0023","0001","로얄팰리스 하우스빌","29.5000","202604","16","21,000","16","개인","개인","2004","백현로 105","-","중개거래","경기 성남시 분당구"
"60","경기도 성남시 분당구 정자동","7","0007","0000","분당두산위브파빌리온","37.6800","202604","16","32,200","7","개인","개인","2005","성남대로 393","-","중개거래","경기 성남시 분당구"
"61","경기도 성남시 분당구 야탑동","360-1","0360","0001","시그마 3","33.0700","202604","16","20,800","5","개인","개인","2003","장미로 78","-","중개거래","경기 성남시 분당구, 서울 광진구"
"62","경기도 성남시 분당구 정자동","7","0007","0000","분당두산위브파빌리온","73.2900","202604","15","83,000","3","개인","개인","2005","성남대로 393","-","중개거래","경기 성남시 분당구"
"63","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","25.7200","202604","15","21,200","9","개인","개인","2015","정자일로 135","-","중개거래","경기 성남시 분당구"
"64","경기도 성남시 분당구 구미동","156","0156","0000","포스빌","37.8700","202604","15","19,000","5","개인","법인","2004","성남대로 51","-","직거래","-"
"65","경기도 성남시 분당구 구미동","189-1","0189","0001","성우스타우스오피스텔","32.6000","202604","14","16,500","3","개인","개인","2004","구미로 16","-","직거래","-"
"66","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","40.0000","202604","14","22,900","8","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"67","경기도 성남시 분당구 수내동","11-1","0011","0001","청구블루빌","42.1200","202604","14","21,000","3","개인","개인","2000","황새울로 224","-","중개거래","경기 성남시 분당구"
"68","경기도 성남시 분당구 정자동","166-2","0166","0002","정자역 엠코헤리츠 3단지","29.7300","202604","14","21,500","10","개인","개인","2014","정자일로 136","-","중개거래","경기 성남시 분당구"
"69","경기도 성남시 분당구 정자동","16-2","0016","0002","정자동2차푸르지오시티","30.2700","202604","14","25,000","9","개인","개인","2013","정자일로 197","-","중개거래","경기 성남시 분당구"
"70","경기도 성남시 분당구 구미동","18","0018","0000","시그마2 오피스텔","38.7200","202604","13","20,200","8","개인","개인","1999","탄천상로 164","-","중개거래","경기 성남시 분당구"
"71","경기도 성남시 분당구 수내동","6-6","0006","0006","오피스텔 트레벨","36.3200","202604","13","16,500","7","개인","개인","2002","황새울로258번길 35","-","직거래","-"
"72","경기도 성남시 분당구 정자동","7","0007","0000","분당두산위브파빌리온","65.3700","202604","13","65,000","8","개인","개인","2005","성남대로 393","-","직거래","-"
"73","경기도 성남시 분당구 수내동","21-2","0021","0002","현대판테온I오피스텔","93.6000","202604","13","108,500","17","개인","개인","2000","황새울로200번길 9-7","-","중개거래","경기 성남시 분당구"
