"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"39","경기도 성남시 중원구 성남동","4700","4700","0000","성남여수LH1단지(임대)","월세","45.7100","202604","29","5,639","33","9","2017","둔촌대로63번길 11","202604~202806","신규","-","","","아파트"
"40","경기도 성남시 중원구 도촌동","701","0701","0000","휴먼시아섬마을2단지(임대)","월세","36.9700","202604","29","4,052","8","4","2008","도촌남로 24","202605~202804","갱신","-","2,049","17","아파트"
"41","경기도 성남시 중원구 중앙동","577","0577","0000","중앙동힐스테이트2차","전세","84.9800","202604","29","50,000","0","6","2014","시민로 66","202606~202806","갱신","사용","48,000","0","아파트"
"42","경기도 성남시 중원구 도촌동","700","0700","0000","LH동분당센트럴파크","월세","59.9800","202604","29","6,145","37","3","2010","도촌남로 22","202604~202806","신규","-","","","아파트"
"43","경기도 성남시 중원구 도촌동","703","0703","0000","휴먼시아섬마을4단지(임대)","월세","36.9800","202604","29","2,131","18","8","2008","도촌남로 69","202604~202806","신규","-","","","아파트"
"44","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","월세","49.9800","202604","28","1,000","90","10","1994","금상로 134","202606~202805","신규","-","","","아파트"
"45","경기도 성남시 중원구 은행동","1932-6","1932","0006","현대","전세","84.6300","202604","28","45,000","0","7","1995","자혜로17번길 16","202607~202807","신규","-","","","아파트"
"46","경기도 성남시 중원구 은행동","1932-6","1932","0006","현대","전세","84.6300","202604","28","35,000","0","1","1995","자혜로17번길 16","202604~202804","갱신","-","31,000","0","아파트"
"47","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","전세","49.9800","202604","28","30,000","0","1","1994","금상로 134","202606~202806","신규","-","","","아파트"
"48","경기도 성남시 중원구 도촌동","708","0708","0000","휴먼시아섬마을9단지(임대)","월세","36.9800","202604","28","2,152","18","5","2008","도촌남로 148","202605~202804","갱신","-","2,049","17","아파트"
"49","경기도 성남시 중원구 도촌동","703","0703","0000","휴먼시아섬마을4단지(임대)","월세","36.9800","202604","28","2,152","18","6","2008","도촌남로 69","202605~202804","갱신","-","2,049","17","아파트"
"50","경기도 성남시 중원구 금광동","1001","1001","0000","e편한세상금빛그랑메종1단지","전세","59.9500","202604","27","65,000","0","19","2023","금광로 11","202607~202807","신규","-","","","아파트"
"51","경기도 성남시 중원구 도촌동","703","0703","0000","휴먼시아섬마을4단지(임대)","월세","46.9700","202604","27","3,827","28","2","2008","도촌남로 69","202605~202804","갱신","-","3,645","27","아파트"
