"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"87","경기도 성남시 수정구 태평동","3772","3772","0000","정향맨션","월세","57.3200","202604","01","2,000","85","1","1992","남문로62번길 16","202605~202805","신규","-","","","연립다세대"
"88","경기도 성남시 수정구 산성동","451","0451","0000","대호로얄빌라","전세","59.3700","202604","01","19,800","0","1","2000","수정남로326번길 10","202604~202804","신규","-","","","연립다세대"
"89","경기도 성남시 수정구 양지동","359","0359","0000","조은맨션","전세","59.9800","202604","01","13,900","0","-1","2002","논골로36번길 40","202606~202806","신규","-","","","연립다세대"
"90","경기도 성남시 수정구 창곡동","575","0575","0000","이편한세상테라스위례","월세","84.7706","202603","31","32,872","65","2","2017","위례동이로 24","202605~202805","갱신","-","32,008","63","연립다세대"
"91","경기도 성남시 수정구 태평동","7337-2","7337","0002","엘지빌리지","전세","83.8800","202603","31","32,000","0","3","1996","수정북로 128","202604~202804","갱신","-","32,000","0","연립다세대"
"92","경기도 성남시 수정구 산성동","123","0123","0000","다솔빌라","전세","59.0400","202603","31","16,800","0","1","1997","수정남로328번길 11","202603~202802","갱신","사용","16,000","0","연립다세대"
"93","경기도 성남시 수정구 산성동","477","0477","0000","금성빌라3차","전세","36.0600","202603","30","11,000","0","3","1997","수정남로326번길 12-3","202605~202805","신규","-","","","연립다세대"
"94","경기도 성남시 수정구 신흥동","2615","2615","0000","(2615-0)","전세","25.9200","202603","30","20,000","0","1","1988","공원로345번길 6-1","202603~202803","신규","-","","","연립다세대"
"95","경기도 성남시 수정구 창곡동","575","0575","0000","이편한세상테라스위례","월세","84.4613","202603","30","40,982","65","3","2017","위례동이로 24","202605~202805","갱신","-","39,904","63","연립다세대"
"96","경기도 성남시 수정구 신흥동","2615","2615","0000","(2615-0)","전세","25.9200","202603","30","20,000","0","1","1988","공원로345번길 6-1","202603~202803","신규","-","","","연립다세대"
