"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"84","경기도 성남시 분당구 이매동","5*","8m미만","54.82","전세","202604","24","12,500","0","2004","방아로46번길","202604~202804","갱신","-","12,000","0","단독다가구"
"85","경기도 성남시 분당구 분당동","1**","8m미만","27.00","월세","202604","24","1,000","55","2013","장안로14번길","202607~202807","신규","-","","","단독다가구"
"86","경기도 성남시 분당구 분당동","1**","12m미만","38.00","월세","202604","24","2,000","60","1999","분당로311번길","202607~202807","신규","-","","","단독다가구"
"87","경기도 성남시 분당구 정자동","2**","8m미만","54.00","월세","202604","23","15,000","25","1996","불곡북로25번길","202605~202805","신규","-","","","단독다가구"
"88","경기도 성남시 분당구 야탑동","3**","8m미만","25.00","월세","202604","23","4,000","40","2001","야탑로153번길","202605~202805","갱신","-","3,000","40","단독다가구"
"89","경기도 성남시 분당구 운중동","1***","12m미만","58.00","전세","202604","23","30,000","0","2010","판교로25번길","202606~202806","신규","-","","","단독다가구"
"90","경기도 성남시 분당구 정자동","8*","12m미만","56.00","월세","202604","23","16,000","23","1994","황새울로108번길","202605~202805","갱신","사용","16,000","20","단독다가구"
"91","경기도 성남시 분당구 서현동","8*","8m미만","22.00","월세","202604","23","5,000","40","2011","서현로237번길","202605~202805","신규","-","","","단독다가구"
"92","경기도 성남시 분당구 정자동","2**","8m미만","22.00","월세","202604","23","1,000","55","1996","불곡남로22번길","202605~202805","신규","-","","","단독다가구"
"93","경기도 성남시 분당구 분당동","1**","8m미만","45.00","월세","202604","23","500","47","1996","서현로494번길","202604~202804","신규","-","","","단독다가구"
"94","경기도 성남시 분당구 분당동","1**","8m미만","45.00","월세","202604","23","500","47","1996","서현로494번길","202604~202804","신규","-","","","단독다가구"
"95","경기도 성남시 분당구 분당동","1**","8m미만","20.00","월세","202604","23","500","35","2002","장안로4번길","202604~202804","신규","-","","","단독다가구"
"96","경기도 성남시 분당구 야탑동","2**","8m미만","55.00","월세","202604","23","2,000","52","1996","매화로48번길","202606~202806","신규","-","","","단독다가구"
"97","경기도 성남시 분당구 야탑동","4**","12m미만","60.00","월세","202604","23","13,000","40","2001","판교로572번길","202606~202806","신규","-","","","단독다가구"
"98","경기도 성남시 분당구 정자동","8*","8m미만","50.00","월세","202604","23","3,500","20","1994","느티로51번길","202604~202804","신규","-","","","단독다가구"
"99","경기도 성남시 분당구 정자동","5*","8m미만","25.00","월세","202604","23","2,000","58","1996","내정로113번길","202605~202805","신규","-","","","단독다가구"
"100","경기도 성남시 분당구 운중동","9**","12m미만","60.00","월세","202604","22","5,000","100","2011","운중로113번길","202607~202807","신규","-","","","단독다가구"
"101","경기도 성남시 분당구 율동","2**","8m미만","52.00","월세","202604","22","15,000","35","2012","새마을로165번길","202605~202805","신규","-","","","단독다가구"
"102","경기도 성남시 분당구 수내동","1**","8m미만","107.65","월세","202604","22","15,000","85","1996","발이봉북로24번길","202608~202808","갱신","사용","15,000","80","단독다가구"
"103","경기도 성남시 분당구 야탑동","3**","8m미만","24.20","월세","202604","22","1,000","64","2015","장미로100번길","202606~202806","갱신","-","1,000","61","단독다가구"
"104","경기도 성남시 분당구 야탑동","5**","25m이상","30.00","전세","202604","22","13,000","0","2001","판교로","202606~202806","갱신","-","6,000","35","단독다가구"
"105","경기도 성남시 분당구 야탑동","5**","25m이상","30.00","전세","202604","22","13,000","0","2001","판교로","202606~202806","갱신","-","6,000","35","단독다가구"
"106","경기도 성남시 분당구 정자동","8*","12m미만","55.00","월세","202604","22","2,000","100","1997","황새울로108번길","202605~202805","신규","-","","","단독다가구"
"107","경기도 성남시 분당구 정자동","1**","12m미만","110.55","월세","202604","22","36,000","20","1994","불정로65번길","202606~202806","신규","-","","","단독다가구"
"108","경기도 성남시 분당구 정자동","2**","8m미만","55.00","월세","202604","22","5,000","70","1998","불곡남로17번길","202606~202806","신규","-","","","단독다가구"
"109","경기도 성남시 분당구 야탑동","3**","8m미만","60.00","전세","202604","22","21,000","0","1996","장미로100번길","202606~202806","신규","-","","","단독다가구"
"110","경기도 성남시 분당구 이매동","9*","8m미만","54.00","월세","202604","22","2,000","85","2001","성남대로772번길","202606~202806","신규","-","","","단독다가구"
"111","경기도 성남시 분당구 이매동","5*","8m미만","112.65","전세","202604","22","40,000","0","2001","방아로46번길","202606~202806","신규","-","","","단독다가구"
"112","경기도 성남시 분당구 운중동","9**","25m미만","70.00","월세","202604","22","30,000","30","2010","운중로138번길","202605~202805","신규","-","","","단독다가구"
"113","경기도 성남시 분당구 운중동","1***","12m미만","122.56","월세","202604","21","20,000","150","2011","판교로25번길","202606~202806","갱신","사용","20,000","140","단독다가구"
"114","경기도 성남시 분당구 분당동","1**","12m미만","52.82","전세","202604","21","16,000","0","1996","장안로56번길","202605~202805","신규","-","","","단독다가구"
"115","경기도 성남시 분당구 야탑동","4**","8m미만","15.29","월세","202604","21","5,000","32","2009","판교로592번길","202604~202804","신규","-","","","단독다가구"
"116","경기도 성남시 분당구 야탑동","3**","8m미만","23.00","월세","202604","21","1,000","65","1994","야탑로153번길","202604~202804","신규","-","","","단독다가구"
"117","경기도 성남시 분당구 분당동","1**","8m미만","15.00","전세","202604","21","4,500","0","2018","장안로4번길","202605~202805","신규","-","","","단독다가구"
"118","경기도 성남시 분당구 분당동","1**","12m미만","20.00","월세","202604","21","1,000","50","1996","분당로311번길","202604~202804","신규","-","","","단독다가구"
"119","경기도 성남시 분당구 구미동","5*","12m미만","20.00","월세","202604","21","1,000","60","2001","미금일로74번길","202605~202805","신규","-","","","단독다가구"
"120","경기도 성남시 분당구 정자동","2**","8m미만","95.57","전세","202604","21","35,000","0","1996","불곡남로29번길","202606~202806","신규","-","","","단독다가구"
"121","경기도 성남시 분당구 정자동","5*","12m미만","24.00","월세","202604","21","4,000","40","1994","느티로77번길","202607~202807","신규","-","","","단독다가구"
"122","경기도 성남시 분당구 정자동","2**","8m미만","50.00","월세","202604","21","1,000","60","1996","불곡남로33번길","202605~202805","신규","-","","","단독다가구"
"123","경기도 성남시 분당구 서현동","3**","12m미만","94.47","전세","202604","21","33,000","0","1996","효자길","202605~202805","신규","-","","","단독다가구"
"124","경기도 성남시 분당구 분당동","1**","8m미만","45.00","전세","202604","21","16,000","0","1995","분당로","202605~202805","신규","-","","","단독다가구"
"125","경기도 성남시 분당구 분당동","1**","12m미만","40.07","월세","202604","21","13,000","20","2001","선지봉로16번길","202606~202806","신규","-","","","단독다가구"
"126","경기도 성남시 분당구 서현동","3**","12m미만","28.00","월세","202604","20","500","40","1997","서현로357번길","202604~202804","신규","-","","","단독다가구"
"127","경기도 성남시 분당구 서현동","8*","8m미만","80.00","월세","202604","20","30,000","50","2002","서현로247번길","202606~202806","신규","-","","","단독다가구"
"128","경기도 성남시 분당구 서현동","3**","12m미만","19.83","전세","202604","20","10,000","0","1994","효자길","202605~202805","신규","-","","","단독다가구"
"129","경기도 성남시 분당구 야탑동","3**","8m미만","30.00","월세","202604","20","5,000","45","2001","장미로100번길","202605~202805","신규","-","","","단독다가구"
"130","경기도 성남시 분당구 야탑동","4**","8m미만","42.90","전세","202604","20","12,000","0","2002","판교로552번길","202605~202805","신규","-","","","단독다가구"
"131","경기도 성남시 분당구 야탑동","3**","8m미만","16.53","월세","202604","20","1,000","55","1988","장미로92번길","202604~202804","신규","-","","","단독다가구"
"132","경기도 성남시 분당구 야탑동","4**","8m미만","42.90","전세","202604","20","12,000","0","2002","판교로552번길","202605~202805","신규","-","","","단독다가구"
"133","경기도 성남시 분당구 수내동","9*","8m미만","50.00","월세","202604","20","1,000","50","1996","발이봉로7번길","202605~202804","신규","-","","","단독다가구"
"134","경기도 성남시 분당구 수내동","9*","8m미만","20.00","월세","202604","20","500","25","1995","발이봉남로3번길","202604~202704","신규","-","","","단독다가구"
"135","경기도 성남시 분당구 대장동","6**","12m미만","83.18","월세","202604","20","40,000","150","2026","판교대장로3길","202604~202804","신규","-","","","단독다가구"
"136","경기도 성남시 분당구 정자동","2**","8m미만","95.92","전세","202604","20","35,000","0","1997","불곡남로29번길","202606~202806","신규","-","","","단독다가구"
"137","경기도 성남시 분당구 구미동","1**","25m미만","55.02","전세","202604","20","22,050","0","1995","금곡로7번길","202604~202804","갱신","사용","21,000","0","단독다가구"
"138","경기도 성남시 분당구 분당동","1**","12m미만","108.44","전세","202604","20","33,000","0","1995","서현로429번길","202606~202806","신규","-","","","단독다가구"
"139","경기도 성남시 분당구 분당동","1**","12m미만","50.00","전세","202604","20","15,000","0","1997","불정로420번길","202604~202804","신규","-","","","단독다가구"
"140","경기도 성남시 분당구 분당동","1**","25m미만","50.00","전세","202604","20","22,000","0","1998","장안로16번길","202605~202805","신규","-","","","단독다가구"
"141","경기도 성남시 분당구 궁내동","3**","8m미만","30.66","월세","202604","20","3,000","64","","궁내로40번길","202604~202804","신규","-","","","단독다가구"
"142","경기도 성남시 분당구 수내동","1**","8m미만","60.00","전세","202604","19","25,000","0","1997","발이봉남로12번길","202604~202704","신규","-","","","단독다가구"
"143","경기도 성남시 분당구 정자동","8*","12m미만","23.00","월세","202604","18","1,000","50","2000","황새울로108번길","-","-","-","","","단독다가구"
"144","경기도 성남시 분당구 야탑동","3**","8m미만","45.00","월세","202604","18","14,000","30","1998","장미로92번길","202606~202806","신규","-","","","단독다가구"
"145","경기도 성남시 분당구 야탑동","3**","12m미만","50.00","전세","202604","18","20,000","0","1994","매화로38번길","202605~202805","신규","-","","","단독다가구"
"146","경기도 성남시 분당구 정자동","2**","12m미만","25.00","월세","202604","18","3,000","63","1997","불곡남로4번길","202605~202805","갱신","사용","3,000","60","단독다가구"
"147","경기도 성남시 분당구 서현동","3**","12m미만","20.00","월세","202604","18","1,000","50","1995","서현로357번길","202605~202805","신규","-","","","단독다가구"
"148","경기도 성남시 분당구 야탑동","2**","25m미만","17.00","월세","202604","18","1,000","43","1994","매화로48번길","202605~202805","신규","-","","","단독다가구"
"149","경기도 성남시 분당구 분당동","1**","12m미만","54.45","전세","202604","18","20,000","0","1997","분당로359번길","202606~202806","신규","-","","","단독다가구"
"150","경기도 성남시 분당구 서현동","3**","8m미만","42.00","전세","202604","18","17,000","0","1994","불정로426번길","-","-","-","","","단독다가구"
"151","경기도 성남시 분당구 판교동","5**","12m미만","70.00","월세","202604","18","25,000","80","2010","서판교로44번길","202607~202807","신규","-","","","단독다가구"
"152","경기도 성남시 분당구 운중동","9**","25m미만","60.00","월세","202604","18","2,000","120","2010","산운로160번길","202606~202806","신규","-","","","단독다가구"
"153","경기도 성남시 분당구 이매동","6*","8m미만","30.00","전세","202604","18","11,500","0","2005","방아로46번길","202604~202804","갱신","-","11,000","0","단독다가구"
"154","경기도 성남시 분당구 정자동","4*","12m미만","27.00","월세","202604","17","1,000","65","1994","내정로129번길","202605~202705","신규","-","","","단독다가구"
"155","경기도 성남시 분당구 운중동","9**","12m미만","64.30","월세","202604","17","7,000","85","","운중로138번길","202606~202806","갱신","사용","7,000","80","단독다가구"
"156","경기도 성남시 분당구 정자동","7*","25m미만","57.00","월세","202604","17","9,000","65","1998","느티로63번길","202607~202807","신규","-","","","단독다가구"
"157","경기도 성남시 분당구 분당동","1**","12m미만","54.63","월세","202604","17","1,000","40","1995","서현로429번길","202604~202804","신규","-","","","단독다가구"
"158","경기도 성남시 분당구 정자동","4*","12m미만","25.00","월세","202604","16","500","45","2001","내정로129번길","202605~202805","신규","-","","","단독다가구"
"159","경기도 성남시 분당구 운중동","8**","12m미만","135.11","전세","202604","16","90,000","0","2017","하오개로391번길","202607~202807","신규","-","","","단독다가구"
"160","경기도 성남시 분당구 야탑동","3**","8m미만","20.00","월세","202604","16","4,000","35","2001","장미로","202604~202804","신규","-","","","단독다가구"
