"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"43","경기도 성남시 수정구 창곡동","531","0531","0000","위례자이","전세","101.9868","202605","03","100,000","0","7","2016","위례순환로 100","202606~202806","신규","-","","","아파트"
"44","경기도 성남시 수정구 고등동","585","0585","0000","판교밸리자이2단지","전세","60.9892","202605","03","65,000","0","4","2023","대왕판교로 981","202608~202808","신규","-","","","아파트"
"45","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","전세","67.8600","202605","02","57,750","0","14","2020","수정로 319","202606~202806","갱신","사용","55,000","0","아파트"
"46","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","월세","67.8600","202605","02","30,000","160","16","2020","수정로 319","202607~202807","신규","-","","","아파트"
"47","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","전세","74.9800","202605","02","63,000","0","22","2020","수정로 319","202605~202805","갱신","사용","60,000","0","아파트"
"48","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","전세","98.6800","202605","02","87,000","0","8","2020","수정로 319","202607~202807","신규","-","","","아파트"
"49","경기도 성남시 수정구 단대동","100","0100","0000","단대푸르지오","월세","59.8500","202605","02","5,000","173","16","2012","산성대로437번길 7","202605~202805","갱신","사용","5,000","165","아파트"
"50","경기도 성남시 수정구 창곡동","572","0572","0000","힐스테이트위례","전세","99.8800","202605","02","88,000","0","7","2015","위례동로 15","202606~202806","갱신","-","80,000","0","아파트"
"51","경기도 성남시 수정구 창곡동","567","0567","0000","위례 래미안이편한세상","전세","84.9800","202605","02","73,500","0","10","2016","위례동로 61","202605~202805","갱신","사용","70,000","0","아파트"
"52","경기도 성남시 수정구 창곡동","519","0519","0000","위례센트럴푸르지오","전세","101.9650","202605","01","95,000","0","18","2016","위례순환로 211","202606~202806","신규","-","","","아파트"
"53","경기도 성남시 수정구 신흥동","2464-1","2464","0001","청구","전세","84.9900","202605","01","42,500","0","7","1994","공원로 340","202606~202806","신규","-","","","아파트"
"54","경기도 성남시 수정구 창곡동","515","0515","0000","위례호반써밋에비뉴","전세","98.9500","202605","01","67,000","0","14","2016","위례중앙로 216","202607~202702","갱신","-","67,000","0","아파트"
"55","경기도 성남시 수정구 단대동","100","0100","0000","단대푸르지오","전세","114.8900","202605","01","61,000","0","3","2012","산성대로437번길 7","202608~202808","갱신","사용","58,800","0","아파트"
"56","경기도 성남시 수정구 고등동","578","0578","0000","고등마을","월세","36.3700","202604","30","9,065","19","11","2019","고등로 57","202605~202804","갱신","-","6,965","31","아파트"
"57","경기도 성남시 수정구 신흥동","6961","6961","0000","산성역자이푸르지오1단지","전세","59.9800","202604","30","57,700","0","28","2024","수정로 260","202605~202805","갱신","사용","55,000","0","아파트"
"58","경기도 성남시 수정구 태평동","7346","7346","0000","가천대역두산위브","전세","59.9729","202604","30","45,000","0","15","2018","태평로 65","202607~202611","갱신","사용","45,000","0","아파트"
"59","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.4942","202604","30","54,363","0","4","2019","헌릉로 1005","202605~202705","갱신","-","53,507","0","아파트"
"60","경기도 성남시 수정구 창곡동","531","0531","0000","위례자이","전세","101.9868","202604","30","85,000","0","14","2016","위례순환로 100","202605~202705","갱신","사용","85,000","0","아파트"
"61","경기도 성남시 수정구 창곡동","510","0510","0000","위례35단지","월세","46.7700","202604","30","1,336","44","10","2016","위례광장로 311","202604~202806","갱신","-","5,636","31","아파트"
"62","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","월세","85.9695","202604","30","48,699","24","2","2019","헌릉로 1005","202605~202705","갱신","-","47,933","23","아파트"
"63","경기도 성남시 수정구 창곡동","500","0500","0000","위례31단지","월세","37.4300","202604","30","912","31","3","2017","위례순환로 17","202605~202804","갱신","-","3,701","22","아파트"
"64","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.4942","202604","30","54,363","0","3","2019","헌릉로 1005","202606~202706","갱신","-","53,507","0","아파트"
"65","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","월세","85.4942","202604","30","48,699","24","3","2019","헌릉로 1005","202605~202705","갱신","-","47,933","23","아파트"
"66","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.4942","202604","30","54,363","0","7","2019","헌릉로 1005","202605~202705","갱신","-","53,507","0","아파트"
"67","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.4942","202604","30","54,363","0","5","2019","헌릉로 1005","202605~202705","갱신","-","53,507","0","아파트"
"68","경기도 성남시 수정구 창곡동","504","0504","0000","위례센트럴자이","전세","59.8300","202604","30","60,000","0","4","2017","위례광장로 97","202605~202805","갱신","사용","60,000","0","아파트"
"69","경기도 성남시 수정구 창곡동","500","0500","0000","위례31단지","전세","26.7300","202604","30","1,986","0","7","2017","위례순환로 17","202605~202804","신규","-","","","아파트"
"70","경기도 성남시 수정구 고등동","578","0578","0000","고등마을","월세","26.5200","202604","30","2,800","10","9","2019","고등로 57","202605~202804","갱신","-","1,700","15","아파트"
"71","경기도 성남시 수정구 시흥동","324","0324","0000","판교제2테크노밸리LH1단지","월세","21.6600","202604","29","5,328","23","3","2020","창업로40번길 6","202604~202806","신규","-","","","아파트"
"72","경기도 성남시 수정구 창곡동","510","0510","0000","위례35단지","월세","46.7700","202604","29","5,636","31","10","2016","위례광장로 311","202604~202806","신규","-","","","아파트"
"73","경기도 성남시 수정구 창곡동","500","0500","0000","위례31단지","월세","26.8300","202604","29","2,006","16","3","2017","위례순환로 17","202604~202806","신규","-","","","아파트"
"74","경기도 성남시 수정구 창곡동","510","0510","0000","위례35단지","월세","46.7700","202604","29","5,636","31","11","2016","위례광장로 311","202604~202806","신규","-","","","아파트"
"75","경기도 성남시 수정구 창곡동","510","0510","0000","위례35단지","월세","46.4900","202604","29","5,636","31","18","2016","위례광장로 311","202604~202806","신규","-","","","아파트"
"76","경기도 성남시 수정구 창곡동","510","0510","0000","위례35단지","월세","26.8500","202604","29","1,853","17","11","2016","위례광장로 311","202604~202806","신규","-","","","아파트"
"77","경기도 성남시 수정구 창곡동","501","0501","0000","위례36단지","월세","44.6900","202604","29","5,066","86","15","2021","위례순환로 53","202605~202804","갱신","-","13,800","58","아파트"
"78","경기도 성남시 수정구 시흥동","324","0324","0000","판교제2테크노밸리LH1단지","월세","21.8800","202604","29","5,364","23","4","2020","창업로40번길 6","202604~202806","신규","-","","","아파트"
"79","경기도 성남시 수정구 신흥동","6961","6961","0000","산성역자이푸르지오1단지","전세","74.9600","202604","29","70,000","0","23","2024","수정로 260","202606~202806","신규","-","","","아파트"
"80","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.9695","202604","29","54,363","0","8","2019","헌릉로 1005","202605~202705","갱신","-","53,507","0","아파트"
"81","경기도 성남시 수정구 시흥동","324","0324","0000","판교제2테크노밸리LH1단지","월세","44.6100","202604","29","10,512","45","10","2020","창업로40번길 6","202604~202806","신규","-","","","아파트"
"82","경기도 성남시 수정구 창곡동","500","0500","0000","위례31단지","월세","46.9900","202604","29","8,878","13","3","2017","위례순환로 17","202605~202804","갱신","-","8,703","12","아파트"
"83","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","월세","85.4942","202604","29","48,699","24","13","2019","헌릉로 1005","202606~202705","갱신","-","47,933","23","아파트"
"84","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.7860","202604","29","54,363","0","9","2019","헌릉로 1005","202605~202705","갱신","-","53,507","0","아파트"
"85","경기도 성남시 수정구 시흥동","324","0324","0000","판교제2테크노밸리LH1단지","월세","44.6100","202604","29","10,512","45","8","2020","창업로40번길 6","202604~202806","신규","-","","","아파트"
"86","경기도 성남시 수정구 시흥동","324","0324","0000","판교제2테크노밸리LH1단지","월세","21.6600","202604","29","5,328","23","10","2020","창업로40번길 6","202604~202806","신규","-","","","아파트"
