gu_name,dong_name,admi_cd,total_commute,subway_share,bus_share,car_share,other_share,avg_stay_duration,short_stay_share,axis_commute_share,seoul_commute_share,accessibility_score,vulnerability_score,high_demand_low_access,bus,car,subway,walk,express_bus,rail,air,other,total_od_commute
분당구,운중동,41135680,5273954.58,0.0759543647795313,0.1607411302355205,0.6798484278945004,0.0834560770904477,411.8302753136717,0.0348226074408096,0.416372139097271,0.2927592486959643,-0.2555305212023006,0.2555305212023006,2.155627328406948,847741.42,3585489.73,400579.87,118326.64,503.29,733.02,50.75,320529.86,7510423.12
분당구,서현2동,41135590,2716440.84,0.1399804017082882,0.2250769319165441,0.5198345125749178,0.1151081538002498,419.6428518885028,0.0337103862714713,0.3620525843504159,0.2738597764130119,-0.2621063139889738,0.2621063139889738,0.5311541656341496,611408.17,1412099.7,380248.48,149112.01,190.96,436.92,8.21,162936.39,4002609.49
분당구,수내3동,41135540,1869202.42,0.14523956693786,0.1945101429945719,0.5279796609721915,0.1322706290953764,429.2915055595744,0.0325861283659155,0.3701617824716516,0.2344406541310495,-0.2893140178699317,0.2893140178699317,0.0399320194141119,363578.83,986900.86,271482.15,107885.2,235.4,523.32,8.3,138588.36,2717262.85
분당구,판교동,41135650,3554516.18,0.0748561144543728,0.1881564539678083,0.6269879294796177,0.1099995020982011,417.5239927179625,0.0327652215103997,0.3795769767943636,0.3077155070014815,-0.3501028803497508,0.3501028803497508,1.2324923751700547,668805.16,2228638.74,266077.27,155964.58000000002,272.34000000000003,924.08,14.83,233819.18,4880251.42
분당구,야탑3동,41135640,4591105.58,0.2149424431228175,0.3019216996530059,0.3709425323213761,0.1121933249028004,425.2225567898832,0.0350584923816977,0.2700694718947422,0.2273559108561139,-0.4162046360638819,0.4162046360638819,2.019831468965415,1386154.4,1703036.33,986823.45,276470.29,393.6,350.36,13.96,237863.19,6672514.14
분당구,분당동,41135510,3783688.5,0.1301873872545269,0.2735961932384233,0.4906477739909086,0.1055686455161411,418.43804546751136,0.0356871713937339,0.3749709429470371,0.2449249920085464,-0.4336710616708571,0.4336710616708571,1.5358322990399906,1035202.77,1856458.34,492588.52,141011.08999999997,261.08,570.3599999999999,31.89,257564.45,5440030.35
분당구,야탑1동,41135620,2932633.78,0.2144325398856996,0.2451443255216135,0.3698755560266376,0.1705475785660492,424.1919596017202,0.0357710501445564,0.2450674980573269,0.1975079073769527,-0.4836367701122394,0.4836367701122394,1.0848335385859875,718918.53,1084709.55,628852.11,323900.61,532.09,685.8799999999999,12.01,175023.0,5371850.9
수정구,복정동,41131620,1477361.11,0.3413773021275753,0.1394714052003169,0.4019790259674561,0.1171722667046515,432.65692265075256,0.0357195337299761,0.2528916118332637,0.494981169305812,1.1496514886792848,-1.1496514886792848,-2.9085608483148304,206049.63,593868.1799999999,504337.5500000001,50298.84,144.51,274.43,8.0,122379.97,2488445.17
수정구,태평1동,41131540,2081553.3,0.4689827639772664,0.2328997196468618,0.2206416429500027,0.077475873425869,445.11903681495926,0.0329530163844471,0.2633491757553652,0.3391617515466731,1.1353198854573303,-1.1353198854573303,-2.49501131827426,484793.18,459277.34,976212.62,91425.81,137.23,398.24,16.42,69292.46,3315559.95
수정구,위례동,41131625,6791773.55,0.2770906429882368,0.1786790359051355,0.4224697803712846,0.1217605407353429,418.6895466965326,0.0349272643225862,0.2231166304784841,0.4986810933873673,0.7402231678431688,-0.7402231678431688,1.260227346920607,1213547.55,2869319.08,1881936.9,329027.59,231.06,931.39,9.21,496770.77,9946663.3
수정구,단대동,41131590,2134934.17,0.4001969906172798,0.1808532157223377,0.3104633010768664,0.108486492583516,435.6223411620229,0.0349818280345384,0.208638131087658,0.3233320007602468,0.7243632104931814,-0.7243632104931814,-1.6904024070068226,386109.71,662818.71,854394.23,119490.57,53.95,123.55,2.89,111940.56,3175810.8
수정구,신흥2동,41131520,4721415.66,0.3500304969971655,0.1743412546736035,0.3276111322085969,0.148017116120634,425.434704136619,0.0347497640146345,0.2160829037961955,0.3669006566122644,0.6600649446528102,-0.6600649446528102,0.0854819104266764,823137.53,1546788.33,1652639.4700000002,325268.91000000003,214.54,376.63,6.56,372983.69,6769013.07
수정구,산성동,41131600,555070.24,0.3897411433911499,0.1511133437815005,0.3296028625134001,0.1295426503139494,433.5926424324245,0.0381031236695377,0.2051911449606552,0.2913743992283709,0.6192733121799459,-0.6192733121799459,-2.5044922476623928,83878.52,182952.74,216333.71,30457.19,29.28,46.09,0.0,41372.71,989781.26
수정구,수진2동,41131580,2264098.3,0.3995778407677794,0.2278238846785053,0.2904190069839282,0.082179267569787,438.25123697632745,0.0347423607888403,0.2191564919434695,0.2612820305346552,0.4910707346523357,-0.4910707346523357,-1.1703702448645443,515815.67,657537.1799999999,904683.51,104322.39,168.57,246.02,2.04,81322.92,3568690.04
