gu_name,행정구역읍면동코드,total_workers,regular_workers,self_employed,self_employed_ratio,industry_A,industry_B,industry_C,industry_D,industry_E,industry_F,industry_G,industry_H,industry_I,industry_J,industry_K,industry_L,industry_M,industry_N,industry_O,industry_P,industry_Q,industry_R,industry_S,dong_name,total_biz,it_ratio,건설업(41~42),"공공 행정, 국방 및 사회보장 행정(84)",광업(05~08),교육 서비스업(85),금융 및 보험업(64~66),"농업, 임업 및 어업(01~03)",도매 및 소매업(45~47),보건업 및 사회복지 서비스업(86~87),부동산업(68),"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",숙박 및 음식점업(55~56),"예술, 스포츠 및 여가관련 서비스업(90~91)",운수 및 창고업(49~52),"전기, 가스, 증기 및 공기조절 공급업(35)","전문, 과학 및 기술 서비스업(70~73)",정보통신업(58~63),제조업(10~34),"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)"
수정구,570,1955.0,908.0,684.0,0.3498721227621483,0.0,0.0,57.0,0.0,0.0,117.0,442.0,165.0,150.0,21.0,0.0,45.0,89.0,38.0,0.0,348.0,329.0,24.0,130.0,태평4동,481,0.0145530145530145,37,2,0,27,2,0,91,21,15,16,0,40,8,126,0,10,7,29,50
수정구,580,3289.0,1307.0,1391.0,0.4229249011857707,0.0,0.0,48.0,0.0,0.0,608.0,575.0,148.0,418.0,48.0,49.0,74.0,93.0,37.0,0.0,66.0,842.0,100.0,183.0,수진1동,512,0.01171875,30,1,0,6,2,0,86,52,23,18,0,88,16,93,0,16,6,24,51
수정구,590,5181.0,2949.0,1235.0,0.2383709708550473,0.0,0.0,59.0,0.0,0.0,401.0,738.0,265.0,513.0,165.0,208.0,151.0,221.0,303.0,155.0,568.0,995.0,129.0,310.0,수진2동,590,0.0169491525423728,29,3,0,42,19,0,79,32,22,12,2,93,24,130,1,14,10,35,43
수정구,600,3724.0,2329.0,943.0,0.2532223415682062,0.0,0.0,48.0,0.0,0.0,152.0,418.0,165.0,253.0,22.0,56.0,79.0,303.0,132.0,800.0,586.0,566.0,33.0,111.0,단대동,572,0.0192307692307692,24,6,0,36,6,0,87,31,18,13,2,70,9,163,0,37,11,22,37
수정구,610,1083.0,572.0,294.0,0.2714681440443213,0.0,0.0,35.0,0.0,0.0,74.0,104.0,98.0,160.0,29.0,0.0,24.0,27.0,18.0,0.0,230.0,183.0,56.0,45.0,산성동,225,0.0222222222222222,21,1,0,14,1,0,34,9,7,6,1,13,7,77,0,6,5,7,16
수정구,620,1936.0,991.0,575.0,0.297004132231405,0.0,0.0,28.0,0.0,0.0,93.0,195.0,99.0,265.0,12.0,0.0,42.0,118.0,44.0,0.0,610.0,248.0,61.0,121.0,양지동,392,0.0127551020408163,23,1,0,21,1,0,54,21,13,13,0,53,21,97,1,10,5,18,40
수정구,640,996.0,636.0,207.0,0.2078313253012048,0.0,0.0,0.0,0.0,0.0,115.0,417.0,15.0,115.0,9.0,0.0,25.0,45.0,84.0,0.0,94.0,0.0,5.0,72.0,복정동,790,0.0645569620253164,63,2,0,37,4,1,187,15,29,30,4,91,28,83,1,62,51,52,50
수정구,650,5199.0,3392.0,901.0,0.1733025581842662,0.0,0.0,190.0,3.0,0.0,737.0,1151.0,121.0,507.0,320.0,76.0,229.0,1079.0,159.0,139.0,198.0,114.0,80.0,96.0,위례동,774,0.045219638242894,32,2,0,177,11,0,74,98,34,14,0,88,13,104,4,30,35,23,35
수정구,660,22245.0,20230.0,693.0,0.0311530681051921,3.0,0.0,3777.0,0.0,0.0,809.0,2176.0,579.0,991.0,7101.0,198.0,305.0,2630.0,2042.0,767.0,125.0,232.0,89.0,421.0,신촌동,125,0.032,12,1,0,5,1,0,39,2,5,5,0,14,2,4,1,5,4,10,15
수정구,670,9519.0,6332.0,1031.0,0.1083096963966803,0.0,0.0,156.0,0.0,0.0,989.0,1308.0,372.0,480.0,170.0,101.0,132.0,902.0,524.0,0.0,3513.0,282.0,97.0,493.0,고등동,1128,0.0629432624113475,51,2,0,38,6,3,382,17,128,27,0,136,14,50,3,89,71,46,65
